"","num","Differences","sequencename"
"22",22,5,"gi|295848667|gb|HM011404.1|Herpes_simplex_virus_2|2007|2007|Germany|EU"
"23",23,5,"gi|295848647|gb|HM011394.1|Herpes_simplex_virus_2|2005|2005|Germany|EU"
"24",24,5,"gi|295848625|gb|HM011383.1|Herpes_simplex_virus_2|2003|2003|Germany|EU"
"25",25,5,"gi|295848621|gb|HM011381.1|Herpes_simplex_virus_2|2003|2003|Germany|EU"
"26",26,5,"gi|295848655|gb|HM011398.1|Herpes_simplex_virus_2|2005|2005|Germany|EU"
"27",27,4,"gi|405168015|gb|JQ956318.1|Herpes_simplex_virus_2|2010|2010|France|EU"
"28",28,4,"gi|295848709|gb|HM011425.1|Herpes_simplex_virus_2|1999|1999|Germany|EU"
"29",29,4,"gi|295848707|gb|HM011424.1|Herpes_simplex_virus_2|1998|1998|Germany|EU"
"30",30,5,"gi|405168035|gb|JQ956324.1|Herpes_simplex_virus_2|2007|2007|France|EU"
"31",31,5,"gi|295848651|gb|HM011396.1|Herpes_simplex_virus_2|2005|2005|Germany|EU"
"32",32,6,"gi|295848653|gb|HM011397.1|Herpes_simplex_virus_2|2005|2005|Germany|EU"
"33",33,6,"gi|295848627|gb|HM011384.1|Herpes_simplex_virus_2|2003|2003|Germany|EU"
"34",34,5,"gi|295848717|gb|HM011429.1|Herpes_simplex_virus_2|1999|1999|Germany|EU"
"35",35,5,"gi|295848645|gb|HM011393.1|Herpes_simplex_virus_2|2005|2005|Germany|EU"
"36",36,4,"gi|295848629|gb|HM011385.1|Herpes_simplex_virus_2|2003|2003|Germany|EU"
"37",37,5,"gi|405167978|gb|JQ956304.1|Herpes_simplex_virus_2|2009|2009|France|EU"
"38",38,3,"gi|295848697|gb|HM011419.1|Herpes_simplex_virus_2|1998|1998|Germany|EU"
"39",39,4,"gi|295848685|gb|HM011413.1|Herpes_simplex_virus_2|1997|1997|Germany|EU"
"40",40,5,"gi|405167990|gb|JQ956310.1|Herpes_simplex_virus_2|2008|2008|France|EU"
"41",41,7,"gi|295848607|gb|HM011374.1|Herpes_simplex_virus_2|2002|2002|Germany|EU"
"42",42,5,"gi|295848599|gb|HM011370.1|Herpes_simplex_virus_2|2000|2000|Germany|EU"
"43",43,4,"gi|295848675|gb|HM011408.1|Herpes_simplex_virus_2|2008|2008|Germany|EU"
"44",44,5,"gi|295848609|gb|HM011375.1|Herpes_simplex_virus_2|2002|2002|Germany|EU"
"45",45,8,"gi|405167984|gb|JQ956307.1|Herpes_simplex_virus_2|2007|2007|France|EU"
"46",46,9,"gi|295848695|gb|HM011418.1|Herpes_simplex_virus_2|1998|1998|Germany|EU"
"47",47,7,"gi|405168030|gb|JQ956322.1|Herpes_simplex_virus_2|2007|2007|France|EU"
"48",48,7,"gi|405167980|gb|JQ956305.1|Herpes_simplex_virus_2|2008|2008|France|EU"
"49",49,7,"gi|295848703|gb|HM011422.1|Herpes_simplex_virus_2|1998|1998|Germany|EU"
"50",50,7,"gi|295848677|gb|HM011409.1|Herpes_simplex_virus_2|1997|1997|Germany|EU"
"51",51,7,"gi|295848643|gb|HM011392.1|Herpes_simplex_virus_2|2005|2005|Germany|EU"
"52",52,7,"gi|295848631|gb|HM011386.1|Herpes_simplex_virus_2|2004|2004|Germany|EU"
"53",53,7,"gi|295848617|gb|HM011379.1|Herpes_simplex_virus_2|2003|2003|Germany|EU"
"54",54,6,"gi|405167988|gb|JQ956309.1|Herpes_simplex_virus_2|2008|2008|France|EU"
"55",55,6,"gi|405167986|gb|JQ956308.1|Herpes_simplex_virus_2|2007|2007|France|EU"
"56",56,6,"gi|295848719|gb|HM011430.1|Herpes_simplex_virus_2|1999|1999|Germany|EU"
"57",57,6,"gi|295848699|gb|HM011420.1|Herpes_simplex_virus_2|1998|1998|Germany|EU"
"58",58,6,"gi|295848693|gb|HM011417.1|Herpes_simplex_virus_2|1998|1998|Germany|EU"
"59",59,6,"gi|295848683|gb|HM011412.1|Herpes_simplex_virus_2|1997|1997|Germany|EU"
"60",60,6,"gi|295848679|gb|HM011410.1|Herpes_simplex_virus_2|1997|1997|Germany|EU"
"61",61,6,"gi|295848663|gb|HM011402.1|Herpes_simplex_virus_2|2006|2006|Germany|EU"
"62",62,6,"gi|295848635|gb|HM011388.1|Herpes_simplex_virus_2|2004|2004|Germany|EU"
"63",63,3,"gi|295848641|gb|HM011391.1|Herpes_simplex_virus_2|2004|2004|Germany|EU"
"64",64,3,"gi|295848615|gb|HM011378.1|Herpes_simplex_virus_2|2002|2002|Germany|EU"
"65",65,7,"gi|295848601|gb|HM011371.1|Herpes_simplex_virus_2|2001|2001|Germany|EU"
"66",66,3,"gi|295848605|gb|HM011373.1|Herpes_simplex_virus_2|2002|2002|Germany|EU"
"67",67,3,"gi|295848593|gb|HM011367.1|Herpes_simplex_virus_2|2000|2000|Germany|EU"
"68",68,3,"gi|405168003|gb|JQ956314.1|Herpes_simplex_virus_2|2008|2008|France|EU"
"69",69,3,"gi|405168012|gb|JQ956317.1|Herpes_simplex_virus_2|2009|2009|France|EU"
"70",70,3,"gi|295848665|gb|HM011403.1|Herpes_simplex_virus_2|2006|2006|Germany|EU"
"71",71,2,"gi|405167992|gb|JQ956311.1|Herpes_simplex_virus_2|2009|2009|France|EU"
"72",72,4,"gi|405168009|gb|JQ956316.1|Herpes_simplex_virus_2|2009|2009|France|EU"
"73",73,3,"gi|405167982|gb|JQ956306.1|Herpes_simplex_virus_2|2009|2009|France|EU"
"74",74,2,"gi|295848623|gb|HM011382.1|Herpes_simplex_virus_2|26_Feb_03|2003|Germany|EU"
"75",75,3,"gi|295848669|gb|HM011405.1|Herpes_simplex_virus_2|2007|2007|Germany|EU"
"76",76,1,"gi|295848597|gb|HM011369.1|Herpes_simplex_virus_2|2000|2000|Germany|EU"
"77",77,3,"gi|405168021|gb|JQ956319.1|Herpes_simplex_virus_2|2010|2010|France|EU"
"78",78,3,"gi|405168006|gb|JQ956315.1|Herpes_simplex_virus_2|2009|2009|France|EU"
"79",79,3,"gi|405167999|gb|JQ956313.1|Herpes_simplex_virus_2|2010|2010|France|EU"
"80",80,2,"gi|295848661|gb|HM011401.1|Herpes_simplex_virus_2|2006|2006|Germany|EU"
"81",81,3,"gi|478683888|gb|KC693014.1|Herpes_simplex_virus_2|2012|2012|France|EU"
"82",82,2,"gi|295848681|gb|HM011411.1|Herpes_simplex_virus_2|1997|1997|Germany|EU"
"83",83,6,"gi|295848659|gb|HM011400.1|Herpes_simplex_virus_2|2006|2006|Germany|EU"
"84",84,1,"gi|405167994|gb|JQ956312.1|Herpes_simplex_virus_2|2008|2008|France|EU"
"85",85,5,"gi|295848595|gb|HM011368.1|Herpes_simplex_virus_2|2000|2000|Germany|EU"
"86",86,1,"gi|295848705|gb|HM011423.1|Herpes_simplex_virus_2|1998|1998|Germany|EU"
"87",87,3,"gi|295848671|gb|HM011406.1|Herpes_simplex_virus_2|2008|2008|Germany|EU"
"88",88,3,"gi|295848649|gb|HM011395.1|Herpes_simplex_virus_2|2005|2005|Germany|EU"
"89",89,2,"gi|405167974|gb|JQ956303.1|Herpes_simplex_virus_2|2009|2009|France|EU"
