"","num","Differences","sequencename"
"1",1,643,"gi|8486156|ref|NC_002209.1|Influenza_B_virus|NA|NA|NA|NA"
"18",18,123,"gi|363805053|gb|JQ290179.1|A/Iowa/07/2011_H3N2_|14_Nov_2011|2011|USA|NA"
"19",19,152,"gi|358257207|gb|JQ070767.1|A/Iowa/08/2011_H3N2_|14_Nov_2011|2011|USA|NA"
"20",20,151,"gi|358257226|gb|JQ070775.1|A/Iowa/09/2011_H3N2_|14_Nov_2011|2011|USA|NA"
"21",21,168,"gi|358257188|gb|JQ070759.1|A/Iowa/07/2011_H3N2_|14_Nov_2011|2011|USA|NA"
"22",22,106,"gi|363805072|gb|JQ290187.1|A/Iowa/09/2011_H3N2_|14_Nov_2011|2011|USA|NA"
"23",23,122,"gi|363805034|gb|JQ290171.1|A/Iowa/08/2011_H3N2_|14_Nov_2011|2011|USA|NA"
"24",24,145,"gi|345722615|gb|JN655533.1|A/Pennsylvania/09/2011_H3N2_|20_Aug_2011|2011|USA|NA"
"25",25,141,"gi|353331770|gb|JN866185.1|A/Maine/06/2011_H3N2_|10_Oct_2011|2011|USA|NA"
"26",26,103,"gi|358257265|gb|JQ070791.1|A/Indiana/10/2011_H3N2_|22_Oct_2011|2011|USA|NA"
"27",27,103,"gi|358257245|gb|JQ070783.1|A/Indiana/10/2011_H3N2_|22_Oct_2011|2011|USA|NA"
"28",28,150,"gi|356598751|gb|JN992752.1|A/Indiana/10/2011_H3N2_|22_Oct_2011|2011|USA|NA"
"29",29,140,"gi|345722574|gb|JN655545.1|A/Pennsylvania/11/2011_H3N2_|25_Aug_2011|2011|USA|NA"
"30",30,105,"gi|345522852|gb|JN638732.1|A/Indiana/08/2011_H3N2_|27_Jul_2011|2011|USA|NA"
"31",31,105,"gi|358257284|gb|JQ070799.1|A/Indiana/08/2011_H3N2_|27_Jul_2011|2011|USA|NA"
"32",32,141,"gi|345722480|gb|JN655557.1|A/Indiana/08/2011_H3N2_|27_Jul_2011|2011|USA|NA"
"33",33,123,"gi|363805015|gb|JQ290163.1|A/West_Virginia/06/2011_H3N2_|21_Nov_2011|2011|USA|NA"
"34",34,104,"gi|409676386|gb|JX905418.1|A/Utah/10/2012_H3N2_|29_Mar_2012|2012|USA|NA"
"35",35,150,"gi|409676378|gb|JX905416.1|A/Utah/10/2012_H3N2_|29_Mar_2012|2012|USA|NA"
"36",36,84,"gi|269930174|gb|GU215036.1|A/swine/Jilin/37/2008_H3N2_|30_Oct_2008|2008|China|AS"
"37",37,152,"gi|289900848|gb|GU937748.1|A/Kansas/13/2009_H3N2_|27_Jul_2009|2009|USA|NA"
"38",38,103,"gi|336478055|gb|CY092326.1|A/swine/Argentina/CIP051_A2/2008_H3N2_|Nov_2008|2008|Argentina|SA"
"39",39,165,"gi|383276588|gb|CY113055.1|A/Bilthoven/17938/1969_H3N2_|1969|1969|Netherlands|EU"
"40",40,168,"gi|83026950|gb|CY006765.1|A/Nanjing/49/1977_H3N2_|1977|1977|China|AS"
"41",41,164,"gi|133982221|gb|CY020527.1|A/Albany/18/1968_H3N2_|1968|1968|USA|NA"
"42",42,166,"gi|523511605|gb|CY147448.1|A/Northern_Territories/60_JY2/1968_H3N2_|1968|1968|Australia|OC"
"43",43,162,"gi|145279121|gb|CY021839.1|A/Albany/4/1969_H3N2_|1969|1969|USA|NA"
"44",44,162,"gi|125664218|gb|CY019901.1|A/Albany/1/1969_H3N2_|1969|1969|USA|NA"
"45",45,159,"gi|383213120|gb|CY112243.1|A/Bilthoven/16398/1968_H3N2_|1968|1968|Netherlands|EU"
"46",46,164,"gi|319899620|gb|CY080517.1|A/Hong_Kong/1_4_MA21_1/1968_H3N2_|02_Jan_1968|1968|Hong_Kong|EU"
"47",47,159,"gi|383276569|gb|CY113047.1|A/Bilthoven/908/1969_H3N2_|1969|1969|Netherlands|EU"
"48",48,161,"gi|125664256|gb|CY019917.1|A/Albany/3/1969_H3N2_|1969|1969|USA|NA"
"49",49,161,"gi|80977932|gb|CY006213.1|A/Memphis/1/1968_H3N2_|1968|1968|USA|NA"
"50",50,173,"gi|125664237|gb|CY019909.1|A/Albany/19/1968_H3N2_|1968|1968|USA|NA"
"51",51,170,"gi|256385307|gb|CY044263.1|A/Hong_Kong/1/1968_H3N2_|1968|1968|Hong_Kong|EU"
"52",52,173,"gi|194304655|gb|CY033515.1|A/Hong_Kong/1_9_MA21_1/1968_H3N2_|1968|1968|Hong_Kong|EU"
"53",53,175,"gi|194352116|gb|CY034038.1|A/Hong_Kong/1_12_MA21_3/1968_H3N2_|1968|1968|Hong_Kong|EU"
"54",54,163,"gi|194304769|gb|CY033563.1|A/Hong_Kong/1_12_MA21_1/1968_H3N2_|1968|1968|Hong_Kong|EU"
"55",55,160,"gi|134047622|gb|CY021111.1|A/Albany/17/1968_H3N2_|1968|1968|USA|NA"
"56",56,160,"gi|393693127|gb|CY116573.1|A/Bilthoven/16190/1968_H3N2_|1968|1968|Netherlands|EU"
"57",57,163,"gi|303305373|gb|HM641195.1|A/Hong_Kong/1_2_MA21_3/1968_H3N2_|1968|1968|Hong_Kong|EU"
"58",58,163,"gi|303305363|gb|HM641190.1|A/Hong_Kong/1_6_MA21_2/1968_H3N2_|1968|1968|Hong_Kong|EU"
"59",59,170,"gi|193805118|gb|CY033003.1|A/Hong_Kong/1_1/1968_H3N2_|1968|1968|Hong_Kong|EU"
"60",60,168,"gi|194352059|gb|CY034014.1|A/Hong_Kong/1_6_MA21_2/1968_H3N2_|1968|1968|Hong_Kong|EU"
"61",61,164,"gi|194304674|gb|CY033523.1|A/Hong_Kong/1_9_MA21_2/1968_H3N2_|1968|1968|Hong_Kong|EU"
"62",62,162,"gi|194304693|gb|CY033531.1|A/Hong_Kong/1_9_MA21_3/1968_H3N2_|1968|1968|Hong_Kong|EU"
"63",63,162,"gi|125664199|gb|CY019893.1|A/Albany/11/1968_H3N2_|1968|1968|USA|NA"
"64",64,160,"gi|194352078|gb|CY034022.1|A/Hong_Kong/1_8_MA21_1/1968_H3N2_|1968|1968|Hong_Kong|EU"
"65",65,162,"gi|194304712|gb|CY033539.1|A/Hong_Kong/1_11_MA21_1/1968_H3N2_|1968|1968|Hong_Kong|EU"
"66",66,162,"gi|303305379|gb|HM641198.1|A/Hong_Kong/1_10_MA21_2/1968_H3N2_|1968|1968|Hong_Kong|EU"
"67",67,162,"gi|383213158|gb|CY112259.1|A/Bilthoven/808/1969_H3N2_|1969|1969|Netherlands|EU"
"68",68,162,"gi|523511585|gb|CY147440.1|A/Hong_Kong/JY2/1968_H3N2_|1968|1968|Hong_Kong|EU"
"69",69,162,"gi|392340229|gb|CY121119.1|A/Aichi/2/1968_H3N2_|1968|1968|Japan|AS"
"70",70,161,"gi|85816056|gb|CY008158.1|A/Beijing/1/1968_H3N2_|1968|1968|China|AS"
"71",71,162,"gi|319899637|gb|CY080525.1|A/Hong_Kong/1_10_MA21_1/1968_H3N2_|03_Jan_1968|1968|Hong_Kong|EU"
"72",72,178,"gi|194352097|gb|CY034030.1|A/Hong_Kong/1_8_MA21_3/1968_H3N2_|1968|1968|Hong_Kong|EU"
"73",73,162,"gi|303305377|gb|HM641197.1|A/Hong_Kong/1_10_MA21_1/1968_H3N2_|1968|1968|Hong_Kong|EU"
"74",74,177,"gi|194304636|gb|CY033507.1|A/Hong_Kong/1_1_MA_12/1968_H3N2_|1968|1968|Hong_Kong|EU"
"75",75,162,"gi|303305383|gb|HM641200.1|A/Hong_Kong/MA/1968_H3N2_|1968|1968|Hong_Kong|EU"
"76",76,162,"gi|303305375|gb|HM641196.1|A/Hong_Kong/1_2_MA21_2/1968_H3N2_|1968|1968|Hong_Kong|EU"
"77",77,162,"gi|303305369|gb|HM641193.1|A/Hong_Kong/1_5_MA21_1/1968_H3N2_|1968|1968|Hong_Kong|EU"
"78",78,161,"gi|303305367|gb|HM641192.1|A/Hong_Kong/1_5_MA21_3/1968_H3N2_|1968|1968|Hong_Kong|EU"
"79",79,162,"gi|303305365|gb|HM641191.1|A/Hong_Kong/1_6_MA21_1/1968_H3N2_|1968|1968|Hong_Kong|EU"
"80",80,161,"gi|145279140|gb|CY021847.1|A/Albany/10/1968_H3N2_|1968|1968|USA|NA"
"81",81,161,"gi|148897936|gb|CY022087.1|A/Albany/6/1968_H3N2_|1968|1968|USA|NA"
"82",82,173,"gi|193805213|gb|CY033043.1|A/Hong_Kong/1_7/1968_H3N2_|1968|1968|Hong_Kong|EU"
"83",83,171,"gi|193805137|gb|CY033011.1|A/Hong_Kong/1_2/1968_H3N2_|1968|1968|Hong_Kong|EU"
"84",84,168,"gi|193805156|gb|CY033019.1|A/Hong_Kong/1_4/1968_H3N2_|1968|1968|Hong_Kong|EU"
"85",85,161,"gi|383213101|gb|CY112235.1|A/Bilthoven/15793/1968_H3N2_|1968|1968|Netherlands|EU"
"86",86,161,"gi|383213139|gb|CY112251.1|A/Hong_Kong/1/1968_H3N2_|1968|1968|Hong_Kong|EU"
"87",87,172,"gi|194352040|gb|CY034006.1|A/Hong_Kong/1_11/1968_H3N2_|1968|1968|Hong_Kong|EU"
"88",88,161,"gi|194352021|gb|CY033998.1|A/Hong_Kong/1_8/1968_H3N2_|1968|1968|Hong_Kong|EU"
"89",89,161,"gi|194352002|gb|CY033990.1|A/Hong_Kong/1_1_MA_12D/1968_H3N2_|1968|1968|Hong_Kong|EU"
"90",90,161,"gi|194304788|gb|CY033571.1|A/Hong_Kong/1_12_MA21_2/1968_H3N2_|1968|1968|Hong_Kong|EU"
"91",91,161,"gi|194304750|gb|CY033555.1|A/Hong_Kong/1_11_MA21_3/1968_H3N2_|1968|1968|Hong_Kong|EU"
"92",92,161,"gi|194304731|gb|CY033547.1|A/Hong_Kong/1_11_MA21_2/1968_H3N2_|1968|1968|Hong_Kong|EU"
"93",93,172,"gi|193805270|gb|CY033067.1|A/Hong_Kong/1_12/1968_H3N2_|1968|1968|Hong_Kong|EU"
"94",94,161,"gi|193805232|gb|CY033051.1|A/Hong_Kong/1_9/1968_H3N2_|1968|1968|Hong_Kong|EU"
"95",95,161,"gi|193805194|gb|CY033035.1|A/Hong_Kong/1_6/1968_H3N2_|1968|1968|Hong_Kong|EU"
"96",96,161,"gi|193805175|gb|CY033027.1|A/Hong_Kong/1_5/1968_H3N2_|1968|1968|Hong_Kong|EU"
"97",97,163,"gi|193805251|gb|CY033059.1|A/Hong_Kong/1_10/1968_H3N2_|1968|1968|Hong_Kong|EU"
"98",98,161,"gi|303305381|gb|HM641199.1|A/Hong_Kong/1_10_MA21_3/1968_H3N2_|1968|1968|Hong_Kong|EU"
"99",99,161,"gi|303305371|gb|HM641194.1|A/Hong_Kong/1_4_MA21_1/1968_H3N2_|1968|1968|Hong_Kong|EU"
"100",100,26,"gi|371542209|gb|CY105688.1|A/HaNoi/Q220/2007_H3N2_|30_Mar_2007|2007|Viet_Nam|AS"
"101",101,22,"gi|371540553|gb|CY105560.1|A/HungYen/HY6/2007_H3N2_|2007|2007|Viet_Nam|AS"
"102",102,23,"gi|371537495|gb|CY104374.1|A/HungYen/HY3/2007_H3N2_|2007|2007|Viet_Nam|AS"
"103",103,25,"gi|371542076|gb|CY105632.1|A/HaNoi/N71/2007_H3N2_|02_Mar_2007|2007|Viet_Nam|AS"
"104",104,23,"gi|168481190|gb|CY030207.1|A/Virginia/UR06_0605/2007_H3N2_|13_Mar_2007|2007|USA|NA"
"105",105,39,"gi|158188259|gb|EU199429.1|A/Colorado/15/2007_H3N2_|25_Feb_2007|2007|USA|NA"
"106",106,38,"gi|168827330|gb|EU516189.1|A/Hawaii/13/2007_H3N2_|22_Apr_2007|2007|USA|NA"
"107",107,38,"gi|168825313|gb|EU516171.1|A/Hawaii/12/2007_H3N2_|22_Apr_2007|2007|USA|NA"
"108",108,96,"gi|448272944|gb|KC460169.1|A/Japan/44/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"109",109,95,"gi|448272926|gb|KC460160.1|A/Japan/44/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"110",110,22,"gi|157282726|gb|CY025837.1|A/New_York/UR06_0373/2007_H3N2_|21_Feb_2007|2007|USA|NA"
"111",111,60,"gi|448272716|gb|KC460055.1|A/Japan/46/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"112",112,69,"gi|402485495|gb|JX465442.1|A/Gyeonggi/79/2007_H3N2_|25_Jan_2007|2007|South_Korea|AS"
"113",113,22,"gi|168481171|gb|CY030199.1|A/Illinois/UR06_0600/2007_H3N2_|14_Mar_2007|2007|USA|NA"
"114",114,58,"gi|448272928|gb|KC460161.1|A/Japan/44/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"115",115,59,"gi|448272838|gb|KC460116.1|A/Japan/45/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"116",116,57,"gi|448272740|gb|KC460067.1|A/Japan/46/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"117",117,57,"gi|448272738|gb|KC460066.1|A/Japan/46/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"118",118,55,"gi|448272724|gb|KC460059.1|A/Japan/46/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"119",119,67,"gi|402485489|gb|JX465439.1|A/Gyeonggi/133/2006_H3N2_|14_Dec_2006|2006|South_Korea|AS"
"120",120,63,"gi|448272924|gb|KC460159.1|A/Japan/44/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"121",121,60,"gi|448268697|gb|KC458191.1|A/Japan/236/2007_H3N2_|14_Dec_2007|2007|Japan|AS"
"122",122,57,"gi|448273012|gb|KC460203.1|A/Japan/46/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"123",123,69,"gi|448272730|gb|KC460062.1|A/Japan/46/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"124",124,69,"gi|448272728|gb|KC460061.1|A/Japan/46/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"125",125,58,"gi|448272836|gb|KC460115.1|A/Japan/45/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"126",126,57,"gi|448272934|gb|KC460164.1|A/Japan/44/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"127",127,57,"gi|448272922|gb|KC460158.1|A/Japan/44/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"128",128,57,"gi|448272920|gb|KC460157.1|A/Japan/44/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"129",129,57,"gi|448272912|gb|KC460153.1|A/Japan/44/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"130",130,57,"gi|448272910|gb|KC460152.1|A/Japan/44/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"131",131,56,"gi|448272832|gb|KC460113.1|A/Japan/45/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"132",132,57,"gi|448272746|gb|KC460070.1|A/Japan/46/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"133",133,54,"gi|448272722|gb|KC460058.1|A/Japan/46/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"134",134,57,"gi|448268599|gb|KC458142.1|A/Japan/44/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"135",135,57,"gi|448272840|gb|KC460117.1|A/Japan/45/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"136",136,59,"gi|448272720|gb|KC460057.1|A/Japan/46/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"137",137,59,"gi|448272744|gb|KC460069.1|A/Japan/46/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"138",138,56,"gi|448272942|gb|KC460168.1|A/Japan/44/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"139",139,56,"gi|448272940|gb|KC460167.1|A/Japan/44/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"140",140,56,"gi|448272938|gb|KC460166.1|A/Japan/44/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"141",141,56,"gi|448272936|gb|KC460165.1|A/Japan/44/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"142",142,56,"gi|448272932|gb|KC460163.1|A/Japan/44/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"143",143,56,"gi|448272930|gb|KC460162.1|A/Japan/44/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"144",144,56,"gi|448272918|gb|KC460156.1|A/Japan/44/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"145",145,54,"gi|448272916|gb|KC460155.1|A/Japan/44/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"146",146,56,"gi|448272914|gb|KC460154.1|A/Japan/44/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"147",147,56,"gi|448272908|gb|KC460151.1|A/Japan/44/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"148",148,56,"gi|448272906|gb|KC460150.1|A/Japan/44/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"149",149,56,"gi|448272904|gb|KC460149.1|A/Japan/44/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"150",150,56,"gi|448272842|gb|KC460118.1|A/Japan/45/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"151",151,56,"gi|448272834|gb|KC460114.1|A/Japan/45/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"152",152,56,"gi|448272742|gb|KC460068.1|A/Japan/46/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"153",153,56,"gi|448272736|gb|KC460065.1|A/Japan/46/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"154",154,56,"gi|448272734|gb|KC460064.1|A/Japan/46/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"155",155,76,"gi|448272732|gb|KC460063.1|A/Japan/46/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"156",156,56,"gi|448272726|gb|KC460060.1|A/Japan/46/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"157",157,56,"gi|448272718|gb|KC460056.1|A/Japan/46/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"158",158,56,"gi|448268603|gb|KC458144.1|A/Japan/46/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"159",159,56,"gi|448268601|gb|KC458143.1|A/Japan/45/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"160",160,56,"gi|448268711|gb|KC458198.1|A/Japan/249/2007_H3N2_|14_Dec_2007|2007|Japan|AS"
"161",161,71,"gi|448268713|gb|KC458199.1|A/Japan/251/2007_H3N2_|14_Dec_2007|2007|Japan|AS"
"162",162,57,"gi|448268709|gb|KC458197.1|A/Japan/246/2007_H3N2_|14_Dec_2007|2007|Japan|AS"
"163",163,24,"gi|371537382|gb|CY104326.1|A/HaNoi/BT17/2007_H3N2_|22_Jan_2007|2007|Viet_Nam|AS"
"164",164,22,"gi|194140568|gb|EU879070.1|A/Canada/83/2006_H3N2_|15_Dec_2006|2006|Canada|NA"
"165",165,22,"gi|371542152|gb|CY105664.1|A/HaNoi/Q099/2007_H3N2_|05_Feb_2007|2007|Viet_Nam|AS"
"166",166,64,"gi|448268715|gb|KC458200.1|A/Japan/254/2007_H3N2_|14_Dec_2007|2007|Japan|AS"
"167",167,69,"gi|448272800|gb|KC460097.1|A/Japan/79/2007_H3N2_|16_Nov_2007|2007|Japan|AS"
"168",168,69,"gi|448272850|gb|KC460122.1|A/Japan/254/2007_H3N2_|14_Dec_2007|2007|Japan|AS"
"169",169,66,"gi|448272848|gb|KC460121.1|A/Japan/254/2007_H3N2_|14_Dec_2007|2007|Japan|AS"
"170",170,24,"gi|371542038|gb|CY105616.1|A/HaNoi/N210/2007_H3N2_|21_Jun_2007|2007|Viet_Nam|AS"
"171",171,22,"gi|594206160|gb|CY172833.1|A/New_York/1090/2007_H3N2_|26_Mar_2007|2007|USA|NA"
"172",172,37,"gi|537452859|gb|KF533061.1|A/Singapore/139N/2007_H3N2_|10_Aug_2007|2007|Singapore|AS"
"173",173,23,"gi|371540648|gb|CY105600.1|A/HaNoi/N073/2007_H3N2_|06_Mar_2007|2007|Viet_Nam|AS"
"174",174,23,"gi|371537651|gb|CY104438.1|A/HaNoi/Q097/2007_H3N2_|02_Feb_2007|2007|Viet_Nam|AS"
"175",175,22,"gi|157282783|gb|CY025861.1|A/Alabama/UR06_0545/2007_H3N2_|07_Mar_2007|2007|USA|NA"
"176",176,23,"gi|371537915|gb|CY104550.1|A/BacNinh/N52/2007_H3N2_|02_Jan_2007|2007|Viet_Nam|AS"
"177",177,21,"gi|383279784|gb|CY114399.1|A/Netherlands/363/2006_H3N2_|24_Dec_2006|2006|Netherlands|EU"
"178",178,46,"gi|194140558|gb|EU879065.1|A/Canada/267/2007_H3N2_|25_Jan_2007|2007|Canada|NA"
"179",179,22,"gi|188504316|gb|CY031565.1|A/California/UR06_0588/2007_H3N2_|12_Mar_2007|2007|USA|NA"
"180",180,22,"gi|157368074|gb|CY026197.1|A/California/UR06_0589/2007_H3N2_|13_Mar_2007|2007|USA|NA"
"181",181,19,"gi|392355943|gb|CY121514.1|A/Nepal/921/2006_H3N2_|2006|2006|Nepal|AS"
"182",182,21,"gi|194140576|gb|EU879074.1|A/Canada/270/2007_H3N2_|29_Jan_2007|2007|Canada|NA"
"183",183,20,"gi|387535797|gb|CY118980.1|A/Malaysia/1768035/2007_H3N2_|20_Apr_2007|2007|Malaysia|AS"
"184",184,84,"gi|194140580|gb|EU879076.1|A/Canada/309/2007_H3N2_|25_Jan_2007|2007|Canada|NA"
"185",185,44,"gi|194140562|gb|EU879067.1|A/Canada/281/2007_H3N2_|29_Jan_2007|2007|Canada|NA"
"186",186,41,"gi|194140574|gb|EU879073.1|A/Canada/1210/2006_H3N2_|02_Dec_2006|2006|Canada|NA"
"187",187,37,"gi|158188257|gb|EU199428.1|A/Alaska/05/2007_H3N2_|20_Mar_2007|2007|USA|NA"
"188",188,18,"gi|157282897|gb|CY025909.1|A/Kentucky/UR06_0370/2007_H3N2_|21_Feb_2007|2007|USA|NA"
"189",189,20,"gi|157282517|gb|CY025749.1|A/Texas/UR06_0480/2007_H3N2_|02_Mar_2007|2007|USA|NA"
"190",190,19,"gi|594205942|gb|CY172785.1|A/New_York/1084/2007_H3N2_|05_Mar_2007|2007|USA|NA"
"191",191,66,"gi|448268657|gb|KC458171.1|A/Japan/84/2007_H3N2_|16_Nov_2007|2007|Japan|AS"
"192",192,42,"gi|448268655|gb|KC458170.1|A/Japan/83/2007_H3N2_|16_Nov_2007|2007|Japan|AS"
"193",193,67,"gi|402485491|gb|JX465440.1|A/Gyeonggi/160/2006_H3N2_|20_Dec_2006|2006|South_Korea|AS"
"194",194,55,"gi|448268617|gb|KC458151.1|A/Japan/54/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"195",195,55,"gi|448268615|gb|KC458150.1|A/Japan/53/2007_H3N2_|18_Sep_2007|2007|Japan|AS"
"196",196,19,"gi|594205864|gb|CY172769.1|A/New_York/1082/2007_H3N2_|28_Feb_2007|2007|USA|NA"
"197",197,19,"gi|189345376|gb|EU744881.1|A/Serres/17/2007_H3N2_|12_Jan_2007|2007|Greece|EU"
"198",198,103,"gi|469937670|gb|KC739235.1|A/Taiwan/21/2007_H3N2_|19_Jan_2007|2007|Taiwan|AS"
"199",199,21,"gi|371542437|gb|CY105784.1|A/HaNoi/TX022/2007_H3N2_|12_Jan_2007|2007|Viet_Nam|AS"
"200",200,20,"gi|371537821|gb|CY104510.1|A/HaNoi/TX050/2007_H3N2_|23_Jan_2007|2007|Viet_Nam|AS"
"201",201,36,"gi|158188269|gb|EU199434.1|A/Wisconsin/27/2007_H3N2_|26_Mar_2007|2007|USA|NA"
"202",202,36,"gi|156123531|gb|EU100649.1|A/Texas/01/2007_H3N2_|16_Jan_2007|2007|USA|NA"
"203",203,24,"gi|371537363|gb|CY104318.1|A/HaNoi/BM061/2007_H3N2_|22_Mar_2007|2007|Viet_Nam|AS"
"204",204,22,"gi|371542494|gb|CY105808.1|A/HaNoi/TX072/2007_H3N2_|29_Jan_2007|2007|Viet_Nam|AS"
"205",205,23,"gi|371537689|gb|CY104454.1|A/HaNoi/Q163/2007_H3N2_|12_Mar_2007|2007|Viet_Nam|AS"
"206",206,21,"gi|371537611|gb|CY104422.1|A/HaNoi/Q011/2007_H3N2_|04_Jan_2007|2007|Viet_Nam|AS"
"207",207,21,"gi|371542456|gb|CY105792.1|A/HaNoi/TX023/2007_H3N2_|12_Jan_2007|2007|Viet_Nam|AS"
"208",208,20,"gi|371537514|gb|CY104382.1|A/LangSon/LS156/2007_H3N2_|29_May_2007|2007|Viet_Nam|AS"
"209",209,21,"gi|371542418|gb|CY105776.1|A/HaNoi/TX019/2007_H3N2_|10_Jan_2007|2007|Viet_Nam|AS"
"210",210,21,"gi|371542114|gb|CY105648.1|A/HaNoi/Q071/2007_H3N2_|25_Jan_2007|2007|Viet_Nam|AS"
"211",211,21,"gi|371542095|gb|CY105640.1|A/HaNoi/Q031/2007_H3N2_|11_Jan_2007|2007|Viet_Nam|AS"
"212",212,21,"gi|371542190|gb|CY105680.1|A/HaNam/Q187/2007_H3N2_|20_Mar_2007|2007|Viet_Nam|AS"
"213",213,22,"gi|371537592|gb|CY104414.1|A/HaNoi/N078/2007_H3N2_|10_Mar_2007|2007|Viet_Nam|AS"
"214",214,19,"gi|371540610|gb|CY105584.1|A/HaNoi/N035/2007_H3N2_|22_Jan_2007|2007|Viet_Nam|AS"
"215",215,21,"gi|371540629|gb|CY105592.1|A/HaNoi/N062/2007_H3N2_|08_Feb_2007|2007|Viet_Nam|AS"
