"","num","Differences","sequencename"
"1",1,637,"gi|8486156|ref|NC_002209.1|Influenza_B_virus|NA|NA|NA|NA"
"20",20,642,"gi|302176766|gb|HM998845.1|A/Inner_Mongolia/03/2009_H1N1_|23_Sep_2009|2009|China|AS"
"21",21,641,"gi|316987073|gb|CY057063.1|A/England/94780022/2009_H1N1_|27_Oct_2009|2009|United_Kingdom|EU"
"22",22,640,"gi|316987035|gb|CY057044.1|A/England/94280035/2009_H1N1_|30_Sep_2009|2009|United_Kingdom|EU"
"23",23,639,"gi|316987031|gb|CY057042.1|A/England/93960032/2009_H1N1_|10_Sep_2009|2009|United_Kingdom|EU"
"24",24,638,"gi|316987069|gb|CY057061.1|A/England/94780019/2009_H1N1_|17_Nov_2009|2009|United_Kingdom|EU"
"25",25,638,"gi|316987027|gb|CY057040.1|A/England/00380018/2009_H1N1_|19_Nov_2009|2009|United_Kingdom|EU"
"26",26,638,"gi|316987025|gb|CY057039.1|A/England/00380015/2009_H1N1_|17_Nov_2009|2009|United_Kingdom|EU"
"27",27,638,"gi|316987061|gb|CY057057.1|A/England/94740140/2009_H1N1_|16_Nov_2009|2009|United_Kingdom|EU"
"28",28,638,"gi|316987059|gb|CY057056.1|A/England/94740139/2009_H1N1_|10_Nov_2009|2009|United_Kingdom|EU"
"29",29,641,"gi|316987063|gb|CY057058.1|A/England/94760027/2009_H1N1_|06_Nov_2009|2009|United_Kingdom|EU"
"30",30,640,"gi|316987065|gb|CY057059.1|A/England/94760028/2009_H1N1_|17_Oct_2009|2009|United_Kingdom|EU"
"31",31,639,"gi|316987085|gb|CY057069.1|A/England/94840152/2009_H1N1_|19_Nov_2009|2009|United_Kingdom|EU"
"32",32,639,"gi|316987087|gb|CY057070.1|A/England/94840153/2009_H1N1_|20_Nov_2009|2009|United_Kingdom|EU"
"33",33,639,"gi|316987029|gb|CY057041.1|A/England/00380020/2009_H1N1_|20_Nov_2009|2009|United_Kingdom|EU"
"34",34,640,"gi|316987051|gb|CY057052.1|A/England/94740049/2009_H1N1_|10_Nov_2009|2009|United_Kingdom|EU"
"35",35,638,"gi|316987049|gb|CY057051.1|A/England/94640080/2009_H1N1_|04_Nov_2009|2009|United_Kingdom|EU"
"36",36,639,"gi|316987077|gb|CY057065.1|A/England/94780024/2009_H1N1_|02_Nov_2009|2009|United_Kingdom|EU"
"37",37,639,"gi|316987075|gb|CY057064.1|A/England/94780023/2009_H1N1_|19_Oct_2009|2009|United_Kingdom|EU"
"38",38,639,"gi|316987057|gb|CY057055.1|A/England/94740138/2009_H1N1_|16_Nov_2009|2009|United_Kingdom|EU"
"39",39,639,"gi|316987055|gb|CY057054.1|A/England/94740137/2009_H1N1_|07_Nov_2009|2009|United_Kingdom|EU"
"40",40,639,"gi|316987053|gb|CY057053.1|A/England/94740054/2009_H1N1_|09_Nov_2009|2009|United_Kingdom|EU"
"41",41,639,"gi|316987047|gb|CY057050.1|A/England/94640079/2009_H1N1_|29_Oct_2009|2009|United_Kingdom|EU"
"42",42,639,"gi|316987045|gb|CY057049.1|A/England/94640078/2009_H1N1_|05_Nov_2009|2009|United_Kingdom|EU"
"43",43,639,"gi|316987043|gb|CY057048.1|A/England/94640077/2009_H1N1_|30_Oct_2009|2009|United_Kingdom|EU"
"44",44,639,"gi|316987023|gb|CY057038.1|A/England/00380013/2009_H1N1_|12_Nov_2009|2009|United_Kingdom|EU"
"45",45,639,"gi|316987021|gb|CY057037.1|A/England/00380009/2009_H1N1_|07_Nov_2009|2009|United_Kingdom|EU"
"46",46,639,"gi|316987019|gb|CY057036.1|A/England/00380005/2009_H1N1_|11_Nov_2009|2009|United_Kingdom|EU"
"47",47,639,"gi|316987017|gb|CY057035.1|A/England/00380004/2009_H1N1_|10_Nov_2009|2009|United_Kingdom|EU"
"48",48,640,"gi|380719878|gb|CY111050.1|A/Taiwan/NTU8536/2009_H1N1_|03_Nov_2009|2009|Taiwan|AS"
"49",49,643,"gi|380719876|gb|CY111049.1|A/Taiwan/NTU6590/2009_H1N1_|17_Sep_2009|2009|Taiwan|AS"
"50",50,211,"gi|452862592|dbj|AB745483.1|A/duck/Australia/1980_H1N1_|1980|1980|Australia|OC"
"51",51,127,"gi|224979383|gb|FJ798780.1|A/swine/Hungary/19774/2006_H1N1_|Sep_2006|2006|Hungary|EU"
"52",52,123,"gi|388261230|gb|CY079546.2|A/Switzerland/5165/2010_H1N1_|21_Oct_2010|2010|Switzerland|EU"
"53",53,139,"gi|315455169|gb|CY079539.1|A/Switzerland/9356/2009_H1N1_|13_Dec_2009|2009|Switzerland|EU"
"54",54,135,"gi|511105532|gb|KF057127.1|A/swine/Jiangsu/S14/2011_H1N1_|18_Jan_2011|2011|China|AS"
"55",55,135,"gi|511105512|gb|KF057128.1|A/swine/Jiangsu/s15/2011_H1N1_|05_Feb_2011|2011|China|AS"
"56",56,135,"gi|511105492|gb|KF057129.1|A/swine/Jiangsu/s16/2011_H1N1_|05_Feb_2011|2011|China|AS"
"57",57,129,"gi|511105472|gb|KF057130.1|A/swine/Jiangsu/S30/2011_H1N1_|05_Feb_2011|2011|China|AS"
"58",58,136,"gi|371946154|gb|JQ319650.1|A/swine/Jiangsu/40/2011_H1N1_|09_Jan_2011|2011|China|AS"
"59",59,137,"gi|511105552|gb|KF057126.1|A/Jiangsu/1/2011_H1N1_|04_Jan_2011|2011|China|AS"
"60",60,154,"gi|320006484|gb|HQ908442.1|A/Jiangsu/ALS1/2011_H1N1_|10_Jan_2011|2011|China|AS"
"61",61,232,"gi|323668630|gb|CY083778.1|A/Aalborg/INS282/2009_H1N1_|25_Nov_2009|2009|Denmark|EU"
"62",62,110,"gi|432725763|gb|CY129445.1|A/Odense/INS550/2011_H1N1_|24_Feb_2011|2011|Denmark|EU"
"63",63,97,"gi|426308557|gb|CY100482.1|A/Mexico_City/INER13/2009_H1N1_|10_Nov_2009|2009|Mexico|NA"
"64",64,102,"gi|426308587|gb|CY100495.1|A/Mexico_City/INER15/2009_H1N1_|25_Nov_2009|2009|Mexico|NA"
"65",65,107,"gi|262332277|gb|CY049334.1|A/Singapore/ON479/2009_H1N1_|24_Jun_2009|2009|Singapore|AS"
"66",66,75,"gi|426308606|gb|CY100503.1|A/Mexico_City/INER16/2009_H1N1_|30_Nov_2009|2009|Mexico|NA"
"67",67,85,"gi|262332924|gb|CY049621.1|A/Singapore/GP2312/2009_H1N1_|31_Jul_2009|2009|Singapore|AS"
"68",68,47,"gi|262332635|gb|CY049493.1|A/Singapore/ON1072/2009_H1N1_|09_Jul_2009|2009|Singapore|AS"
"69",69,41,"gi|262332996|gb|CY049653.1|A/Singapore/ON2081/2009_H1N1_|13_Sep_2009|2009|Singapore|AS"
"70",70,25,"gi|426308623|gb|CY100510.1|A/Mexico_City/INER17/2010_H1N1_|07_Jan_2010|2010|Mexico|NA"
"71",71,22,"gi|566560894|gb|KF897803.1|A/Limoges/1159/2010_H1N1_|22_Dec_2010|2010|France|EU"
"72",72,44,"gi|393712967|gb|CY124755.1|A/Singapore/SGH03/2011_H1N1_|09_Feb_2011|2011|Singapore|AS"
"73",73,15,"gi|407359554|gb|JX625848.1|A/England/287/2010_H1N1_|11_Dec_2010|2010|United_Kingdom|EU"
"74",74,13,"gi|485086772|gb|KC881885.1|A/Florida/08/2011_H1N1_|03_Feb_2011|2011|USA|NA"
"75",75,13,"gi|485086288|gb|KC881675.1|A/Georgia/02/2011_H1N1_|05_Mar_2011|2011|USA|NA"
"76",76,13,"gi|485086226|gb|KC881649.1|A/Wisconsin/17/2011_H1N1_|17_Mar_2011|2011|USA|NA"
"77",77,12,"gi|485087169|gb|KC882049.1|A/California/17/2011_H1N1_|15_Feb_2011|2011|USA|NA"
"78",78,12,"gi|485086473|gb|KC881757.1|A/Iowa/01/2011_H1N1_|05_Jan_2011|2011|USA|NA"
"79",79,12,"gi|338826676|gb|CY092890.1|A/South_Carolina/NHRC0001/2011_H1N1_|25_Jan_2011|2011|USA|NA"
"80",80,15,"gi|432996052|gb|CY129984.1|A/Warsaw/INS621/2011_H1N1_|04_Feb_2011|2011|Poland|EU"
"81",81,14,"gi|432992647|gb|CY129976.1|A/Warsaw/INS620/2011_H1N1_|31_Jan_2011|2011|Poland|EU"
"82",82,14,"gi|339517069|gb|JN187201.1|A/Taiwan/1018/2011_H1N1_|08_Jan_2011|2011|Taiwan|AS"
"83",83,15,"gi|399225961|gb|JX309778.1|A/Singapore/GP4183/2010_H1N1_|28_Sep_2010|2010|Singapore|AS"
"84",84,13,"gi|407359302|gb|JX625960.1|A/Northern_Ireland/3/2010_H1N1_|14_Dec_2010|2010|United_Kingdom|EU"
"85",85,15,"gi|339517077|gb|JN187205.1|A/Taiwan/552/2011_H1N1_|18_Jan_2011|2011|Taiwan|AS"
"86",86,13,"gi|343132302|gb|CY096388.1|A/Bangkok/INS494/2010_H1N1_|23_Aug_2010|2010|Thailand|AS"
"87",87,13,"gi|343132284|gb|CY096380.1|A/Bangkok/INS493/2010_H1N1_|23_Aug_2010|2010|Thailand|AS"
"88",88,13,"gi|343132248|gb|CY096364.1|A/Bangkok/INS491/2010_H1N1_|20_Aug_2010|2010|Thailand|AS"
"89",89,13,"gi|341612311|gb|JN381440.1|A/Taiwan/3533/2010_H1N1_|Dec_2010|2010|Taiwan|AS"
"90",90,12,"gi|341612297|gb|JN381433.1|A/Taiwan/90179/2010_H1N1_|Nov_2010|2010|Taiwan|AS"
"91",91,12,"gi|343132428|gb|CY096444.1|A/Bangkok/INS503/2010_H1N1_|25_Aug_2010|2010|Thailand|AS"
"92",92,12,"gi|343132338|gb|CY096404.1|A/Bangkok/INS497/2010_H1N1_|24_Aug_2010|2010|Thailand|AS"
"93",93,12,"gi|343132392|gb|CY096428.1|A/Bangkok/INS500/2010_H1N1_|24_Aug_2010|2010|Thailand|AS"
"94",94,12,"gi|346642629|gb|CY098555.1|A/Bangkok/INS516/2010_H1N1_|02_Sep_2010|2010|Thailand|AS"
"95",95,12,"gi|344995256|gb|CY098140.1|A/Bangkok/INS490/2010_H1N1_|20_Aug_2010|2010|Thailand|AS"
"96",96,12,"gi|432881853|gb|CY129800.1|A/Khon_Kaen/INS585/2010_H1N1_|01_Sep_2010|2010|Thailand|AS"
"97",97,12,"gi|432864502|gb|CY129768.1|A/Bangkok/INS581/2010_H1N1_|08_Sep_2010|2010|Thailand|AS"
"98",98,11,"gi|596528125|gb|CY176524.1|A/Khon_Kaen/INS3_647/2010_H1N1_|23_Sep_2010|2010|Thailand|AS"
"99",99,11,"gi|432877855|gb|CY129792.1|A/Bangkok/INS584/2010_H1N1_|30_Sep_2010|2010|Thailand|AS"
"100",100,11,"gi|474458434|gb|KC781277.1|A/Florida/13/2010_H1N1_|02_Aug_2010|2010|USA|NA"
"101",101,11,"gi|399226147|gb|JX309860.1|A/Singapore/GP4266/2010_H1N1_|09_Oct_2010|2010|Singapore|AS"
"102",102,11,"gi|399225979|gb|JX309786.1|A/Singapore/GP3956/2010_H1N1_|02_Sep_2010|2010|Singapore|AS"
"103",103,11,"gi|343132482|gb|CY096468.1|A/Bangkok/INS506/2010_H1N1_|27_Aug_2010|2010|Thailand|AS"
"104",104,8,"gi|357017716|gb|JN896301.1|A/Hue/6/2009_H1N1_|14_Oct_2009|2009|Viet_Nam|AS"
"105",105,14,"gi|357017720|gb|JN896303.1|A/Hue/10/2009_H1N1_|16_Oct_2009|2009|Viet_Nam|AS"
"106",106,12,"gi|346989790|gb|JN656969.1|A/Hue/15/2009_H1N1_|21_Oct_2009|2009|Viet_Nam|AS"
"107",107,10,"gi|335883144|gb|CY091709.1|A/Singapore/KK68/2011_H1N1_|25_Jan_2011|2011|Singapore|AS"
"108",108,10,"gi|632800721|gb|CY181827.1|A/Nicaragua/AGA2_37/2011_H1N1_|15_Oct_2011|2011|Nicaragua|NA"
"109",109,11,"gi|393713087|gb|CY124807.1|A/Singapore/TT200/2011_H1N1_|21_Apr_2011|2011|Singapore|AS"
"110",110,11,"gi|393712811|gb|CY124688.1|A/Singapore/GP917/2011_H1N1_|06_Apr_2011|2011|Singapore|AS"
"111",111,9,"gi|335883128|gb|CY091701.1|A/Singapore/GP730/2011_H1N1_|02_Mar_2011|2011|Singapore|AS"
"112",112,29,"gi|357528631|gb|JN990563.1|A/Pavia/129/2011_H1N1_|05_Feb_2011|2011|Italy|EU"
"113",113,29,"gi|357528635|gb|JN990565.1|A/Pavia/132/2011_H1N1_|06_Feb_2011|2011|Italy|EU"
"114",114,31,"gi|357528451|gb|JN990473.1|A/Milan/181/2011_H1N1_|28_Jan_2011|2011|Italy|EU"
"115",115,29,"gi|357528477|gb|JN990486.1|A/Milan/213/2011_H1N1_|10_Feb_2011|2011|Italy|EU"
"116",116,30,"gi|357528435|gb|JN990465.1|A/Milan/80/2011_H1N1_|24_Jan_2011|2011|Italy|EU"
"117",117,9,"gi|566413006|gb|CY160642.1|A/Peru/PER045/2011_H1N1_|01_Dec_2011|2011|Peru|SA"
"118",118,91,"gi|357528473|gb|JN990484.1|A/Milan/124/2011_H1N1_|04_Feb_2011|2011|Italy|EU"
"119",119,65,"gi|357528541|gb|JN990518.1|A/Pavia/174/2011_H1N1_|14_Feb_2011|2011|Italy|EU"
"120",120,62,"gi|357528569|gb|JN990532.1|A/Pavia/116/2011_H1N1_|02_Feb_2011|2011|Italy|EU"
"121",121,32,"gi|357528641|gb|JN990568.1|A/Pavia/156/2011_H1N1_|10_Feb_2011|2011|Italy|EU"
"122",122,29,"gi|357528529|gb|JN990512.1|A/Pavia/114/2011_H1N1_|02_Feb_2011|2011|Italy|EU"
"123",123,26,"gi|357528469|gb|JN990482.1|A/Milan/230/2011_H1N1_|03_Feb_2011|2011|Italy|EU"
"124",124,25,"gi|357528433|gb|JN990464.1|A/Milan/98/2011_H1N1_|21_Jan_2011|2011|Italy|EU"
"125",125,5,"gi|485087679|gb|KC882268.1|A/California/20/2011_H1N1_|21_Feb_2011|2011|USA|NA"
"126",126,8,"gi|432745417|gb|CY129477.1|A/Athens/INS568/2011_H1N1_|25_Feb_2011|2011|Greece|EU"
"127",127,9,"gi|335883148|gb|CY091711.1|A/Singapore/SGH01/2011_H1N1_|02_Feb_2011|2011|Singapore|AS"
"128",128,29,"gi|357528651|gb|JN990573.1|A/Palermo/04/2011_H1N1_|28_Jan_2011|2011|Italy|EU"
"129",129,85,"gi|357528613|gb|JN990554.1|A/Pavia/74/2011_H1N1_|21_Jan_2011|2011|Italy|EU"
"130",130,70,"gi|357528525|gb|JN990510.1|A/Pavia/87/2011_H1N1_|26_Jan_2011|2011|Italy|EU"
"131",131,40,"gi|357528573|gb|JN990534.1|A/Pavia/126/2011_H1N1_|04_Feb_2011|2011|Italy|EU"
"132",132,28,"gi|357528485|gb|JN990490.1|A/Milan/237/2011_H1N1_|20_Feb_2011|2011|Italy|EU"
"133",133,28,"gi|357528629|gb|JN990562.1|A/Pavia/127/2011_H1N1_|04_Feb_2011|2011|Italy|EU"
"134",134,28,"gi|357528607|gb|JN990551.1|A/Pavia/65/2011_H1N1_|21_Jan_2011|2011|Italy|EU"
"135",135,28,"gi|357528575|gb|JN990535.1|A/Pavia/157/2011_H1N1_|10_Feb_2011|2011|Italy|EU"
"136",136,28,"gi|357528437|gb|JN990466.1|A/Milan/88/2011_H1N1_|24_Jan_2011|2011|Italy|EU"
"137",137,28,"gi|357528415|gb|JN990455.1|A/Milan/35/2011_H1N1_|13_Jan_2011|2011|Italy|EU"
"138",138,28,"gi|357528409|gb|JN990452.1|A/Milan/15/2011_H1N1_|03_Jan_2011|2011|Italy|EU"
"139",139,7,"gi|344166166|gb|CY097910.1|A/Moscow/WRAIR1933P/2011_H1N1_|21_Jan_2011|2011|Russia|AS"
"140",140,7,"gi|344166148|gb|CY097902.1|A/Moscow/WRAIR1932P/2011_H1N1_|21_Jan_2011|2011|Russia|AS"
"141",141,6,"gi|338826658|gb|CY092882.1|A/California/NHRC0001/2011_H1N1_|28_Jan_2011|2011|USA|NA"
"142",142,6,"gi|399226439|gb|JX309988.1|A/Singapore/KK738/2010_H1N1_|21_Dec_2010|2010|Singapore|AS"
"143",143,6,"gi|399226451|gb|JX309994.1|A/Singapore/TT489/2010_H1N1_|13_Dec_2010|2010|Singapore|AS"
"144",144,27,"gi|357528417|gb|JN990456.1|A/Milan/162/2011_H1N1_|14_Jan_2011|2011|Italy|EU"
"145",145,27,"gi|357528421|gb|JN990458.1|A/Milan/55/2011_H1N1_|17_Jan_2011|2011|Italy|EU"
"146",146,27,"gi|357528425|gb|JN990460.1|A/Milan/40/2011_H1N1_|18_Jan_2011|2011|Italy|EU"
"147",147,27,"gi|357528431|gb|JN990463.1|A/Milan/72/2011_H1N1_|21_Jan_2011|2011|Italy|EU"
"148",148,27,"gi|357528443|gb|JN990469.1|A/Milan/75/2011_H1N1_|26_Jan_2011|2011|Italy|EU"
"149",149,27,"gi|357528445|gb|JN990470.1|A/Milan/90/2011_H1N1_|26_Jan_2011|2011|Italy|EU"
"150",150,27,"gi|357528453|gb|JN990474.1|A/Milan/194/2011_H1N1_|31_Jan_2011|2011|Italy|EU"
"151",151,27,"gi|357528455|gb|JN990475.1|A/Milan/197/2011_H1N1_|31_Jan_2011|2011|Italy|EU"
"152",152,27,"gi|357528483|gb|JN990489.1|A/Milan/236/2011_H1N1_|19_Feb_2011|2011|Italy|EU"
"153",153,27,"gi|357528519|gb|JN990507.1|A/Pavia/68/2011_H1N1_|21_Jan_2011|2011|Italy|EU"
"154",154,27,"gi|357528539|gb|JN990517.1|A/Pavia/161/2011_H1N1_|11_Feb_2011|2011|Italy|EU"
"155",155,45,"gi|357528559|gb|JN990527.1|A/Pavia/69/2011_H1N1_|21_Jan_2011|2011|Italy|EU"
"156",156,27,"gi|357528565|gb|JN990530.1|A/Pavia/88/2011_H1N1_|26_Jan_2011|2011|Italy|EU"
"157",157,54,"gi|357528595|gb|JN990545.1|A/Pavia/30/2011_H1N1_|13_Jan_2011|2011|Italy|EU"
"158",158,27,"gi|357528609|gb|JN990552.1|A/Pavia/71/2011_H1N1_|21_Jan_2011|2011|Italy|EU"
"159",159,69,"gi|357528615|gb|JN990555.1|A/Pavia/77/2011_H1N1_|24_Jan_2011|2011|Italy|EU"
"160",160,27,"gi|357528621|gb|JN990558.1|A/Pavia/105/2011_H1N1_|28_Jan_2011|2011|Italy|EU"
"161",161,27,"gi|357528633|gb|JN990564.1|A/Pavia/130/2011_H1N1_|05_Feb_2011|2011|Italy|EU"
"162",162,6,"gi|432846918|gb|CY129728.1|A/Athens/INS571/2011_H1N1_|27_Feb_2011|2011|Greece|EU"
"163",163,6,"gi|552055586|gb|KF687941.1|A/Cyprus/061/2011_H1N1_|19_Jan_2011|2011|Cyprus|EU"
"164",164,6,"gi|552055590|gb|KF687943.1|A/Cyprus/155/2011_H1N1_|07_Feb_2011|2011|Cyprus|EU"
"165",165,28,"gi|357528449|gb|JN990472.1|A/Milan/188/2011_H1N1_|27_Jan_2011|2011|Italy|EU"
"166",166,93,"gi|357528511|gb|JN990503.1|A/Pavia/42/2011_H1N1_|17_Jan_2011|2011|Italy|EU"
"167",167,84,"gi|357528551|gb|JN990523.1|A/Pavia/31/2011_H1N1_|13_Jan_2011|2011|Italy|EU"
"168",168,61,"gi|357528605|gb|JN990550.1|A/Pavia/63/2011_H1N1_|21_Jan_2011|2011|Italy|EU"
"169",169,93,"gi|357528611|gb|JN990553.1|A/Pavia/73/2011_H1N1_|21_Jan_2011|2011|Italy|EU"
"170",170,7,"gi|393712765|gb|CY124668.1|A/Singapore/GP887/2011_H1N1_|29_Mar_2011|2011|Singapore|AS"
"171",171,7,"gi|393712647|gb|CY124616.1|A/Singapore/GP767/2011_H1N1_|07_Mar_2011|2011|Singapore|AS"
"172",172,7,"gi|335883136|gb|CY091705.1|A/Singapore/KK117/2011_H1N1_|18_Feb_2011|2011|Singapore|AS"
"173",173,7,"gi|335883120|gb|CY091697.1|A/Singapore/GP582/2011_H1N1_|16_Feb_2011|2011|Singapore|AS"
"174",174,7,"gi|335883108|gb|CY091691.1|A/Singapore/GP46/2011_H1N1_|07_Jan_2011|2011|Singapore|AS"
"175",175,7,"gi|335883096|gb|CY091685.1|A/Singapore/EN34/2011_H1N1_|09_Feb_2011|2011|Singapore|AS"
"176",176,7,"gi|335883072|gb|CY091673.1|A/Singapore/GP4588/2010_H1N1_|15_Dec_2010|2010|Singapore|AS"
"177",177,7,"gi|335883068|gb|CY091671.1|A/Singapore/GP4565/2010_H1N1_|10_Dec_2010|2010|Singapore|AS"
"178",178,8,"gi|335883088|gb|CY091681.1|A/Singapore/KK734/2010_H1N1_|17_Dec_2010|2010|Singapore|AS"
"179",179,3,"gi|343137716|gb|CY096500.1|A/Bangkok/INS512/2010_H1N1_|01_Sep_2010|2010|Thailand|AS"
"180",180,3,"gi|343132500|gb|CY096476.1|A/Bangkok/INS507/2010_H1N1_|27_Aug_2010|2010|Thailand|AS"
"181",181,25,"gi|357528643|gb|JN990569.1|A/Pavia/189/2011_H1N1_|24_Feb_2011|2011|Italy|EU"
"182",182,27,"gi|357528577|gb|JN990536.1|A/Pavia/149/2011_H1N1_|09_Feb_2011|2011|Italy|EU"
"183",183,26,"gi|357528439|gb|JN990467.1|A/Milan/84/2011_H1N1_|25_Jan_2011|2011|Italy|EU"
"184",184,11,"gi|341612331|gb|JN381450.1|A/Taiwan/90060/2011_H1N1_|Jan_2011|2011|Taiwan|AS"
"185",185,8,"gi|335883172|gb|CY091723.1|A/Singapore/TT67/2011_H1N1_|21_Jan_2011|2011|Singapore|AS"
"186",186,9,"gi|341612389|gb|JN381479.1|A/Taiwan/90284/2011_H1N1_|Feb_2011|2011|Taiwan|AS"
"187",187,7,"gi|399226349|gb|JX309948.1|A/Singapore/GP4660/2010_H1N1_|29_Dec_2010|2010|Singapore|AS"
"188",188,6,"gi|393712543|gb|CY124570.1|A/Singapore/GP496/2011_H1N1_|10_Feb_2011|2011|Singapore|AS"
"189",189,7,"gi|393712463|gb|CY124536.1|A/Singapore/GP394/2011_H1N1_|31_Jan_2011|2011|Singapore|AS"
"190",190,9,"gi|341612363|gb|JN381466.1|A/Taiwan/65387/2011_H1N1_|Feb_2011|2011|Taiwan|AS"
"191",191,8,"gi|339517071|gb|JN187202.1|A/Taiwan/2649/2011_H1N1_|17_Jan_2011|2011|Taiwan|AS"
"192",192,8,"gi|339517079|gb|JN187206.1|A/Taiwan/1102/2011_H1N1_|19_Jan_2011|2011|Taiwan|AS"
"193",193,7,"gi|341612387|gb|JN381478.1|A/Taiwan/65532/2011_H1N1_|Feb_2011|2011|Taiwan|AS"
"194",194,8,"gi|341612355|gb|JN381462.1|A/Taiwan/90174/2011_H1N1_|Feb_2011|2011|Taiwan|AS"
"195",195,7,"gi|341612323|gb|JN381446.1|A/Taiwan/65093/2011_H1N1_|Jan_2011|2011|Taiwan|AS"
"196",196,7,"gi|380719152|gb|JQ693709.1|A/Taiwan/1240/2011_H1N1_|16_Feb_2011|2011|Taiwan|AS"
"197",197,7,"gi|341612379|gb|JN381474.1|A/Taiwan/90252/2011_H1N1_|Feb_2011|2011|Taiwan|AS"
"198",198,7,"gi|341612381|gb|JN381475.1|A/Taiwan/90262/2011_H1N1_|Feb_2011|2011|Taiwan|AS"
"199",199,7,"gi|341612373|gb|JN381471.1|A/Taiwan/90243/2011_H1N1_|Feb_2011|2011|Taiwan|AS"
"200",200,6,"gi|341612333|gb|JN381451.1|A/Taiwan/90068/2011_H1N1_|Jan_2011|2011|Taiwan|AS"
"201",201,14,"gi|302121291|gb|HM992567.1|A/Rome/709/2009_H1N1_|14_Jul_2009|2009|Italy|EU"
"202",202,9,"gi|485087115|gb|KC882027.1|A/Indiana/06/2010_H1N1_|29_Jul_2010|2010|USA|NA"
"203",203,10,"gi|474458757|gb|KC781415.1|A/Michigan/06/2010_H1N1_|27_Jul_2010|2010|USA|NA"
"204",204,35,"gi|314944002|gb|CY077605.1|A/Mexico/LaGloria_4/2009_H1N1_|24_Mar_2009|2009|Mexico|NA"
"205",205,12,"gi|336477996|gb|CY092403.1|A/Sydney/DD3_46/2010_H1N1_|14_Sep_2010|2010|Australia|OC"
"206",206,9,"gi|336477978|gb|CY092395.1|A/Sydney/DD3_32/2010_H1N1_|06_Oct_2010|2010|Australia|OC"
"207",207,8,"gi|344166051|gb|CY083114.2|A/Quito/WRAIR0617N/2009_H1N1_|07_Oct_2009|2009|Ecuador|SA"
"208",208,9,"gi|238623293|gb|CY040890.1|A/Mexico/47N/2009_H1N1_|25_Apr_2009|2009|Mexico|NA"
"209",209,8,"gi|341612249|gb|JN381409.1|A/Taiwan/90060/2010_H1N1_|May_2010|2010|Taiwan|AS"
"210",210,9,"gi|339517059|gb|JN187196.1|A/Taiwan/1164/2010_H1N1_|05_May_2010|2010|Taiwan|AS"
"211",211,8,"gi|344166508|gb|CY098062.1|A/Moscow/WRAIR4316T/2011_H1N1_|31_Jan_2011|2011|Russia|AS"
"212",212,8,"gi|344166490|gb|CY098054.1|A/Moscow/WRAIR4316N/2011_H1N1_|31_Jan_2011|2011|Russia|AS"
"213",213,9,"gi|507593525|gb|KF000009.1|A/Lebanon/10L_21/2011_H1N1_|14_Jan_2011|2011|Lebanon|AS"
