"","num","Differences","sequencename"
"49",49,822,"gi|169144065|gb|EU482640.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"50",50,1277,"gi|355519788|gb|JN851129.1|Dengue_virus_2|2006|2006|Singapore|AS"
"51",51,1278,"gi|355519786|gb|JN851128.1|Dengue_virus_2|2006|2006|Singapore|AS"
"52",52,1282,"gi|355519780|gb|JN851125.1|Dengue_virus_2|2005|2005|Singapore|AS"
"53",53,1285,"gi|355519778|gb|JN851124.1|Dengue_virus_2|2005|2005|Singapore|AS"
"54",54,846,"gi|451936067|gb|KC131142.1|Dengue_virus_2|Sep_2012|2012|China|AS"
"55",55,1293,"gi|355519782|gb|JN851126.1|Dengue_virus_2|2005|2005|Singapore|AS"
"56",56,1291,"gi|355519784|gb|JN851127.1|Dengue_virus_2|2004|2004|Singapore|AS"
"57",57,1280,"gi|355519776|gb|JN851123.1|Dengue_virus_2|2004|2004|Singapore|AS"
"58",58,782,"gi|300675530|gb|HM488257.1|Dengue_virus_2|2001|2001|Guam|OC"
"59",59,775,"gi|336280760|gb|JF327392.1|Dengue_virus_2|2009|2009|Singapore|AS"
"60",60,810,"gi|428621862|gb|JX475906.1|Dengue_virus_2|2009|2009|India|AS"
"61",61,817,"gi|567319899|gb|KF041236.1|Dengue_virus_2|2008|2008|Pakistan|AS"
"62",62,770,"gi|228539210|gb|FJ882602.1|Dengue_virus_2|1996|1996|Sri_Lanka|AS"
"63",63,836,"gi|428621831|gb|JQ955623.1|Dengue_virus_2|2009|2009|India|AS"
"64",64,849,"gi|513046351|gb|JQ955624.1|Dengue_virus_2|2011|2011|India|AS"
"65",65,822,"gi|557881852|gb|KF479233.1|Dengue_virus_2|04_Jan_2013|2013|China|AS"
"66",66,895,"gi|595077841|gb|KJ010185.1|Dengue_virus_2|20_Oct_2011|2011|Pakistan|AS"
"67",67,900,"gi|558611823|gb|KF360005.1|Dengue_virus_2|01_Nov_2010|2010|Pakistan|AS"
"68",68,845,"gi|239840467|gb|GQ252677.1|Dengue_virus_2|2004|2004|Sri_Lanka|AS"
"69",69,844,"gi|239840465|gb|GQ252676.1|Dengue_virus_2|2003|2003|Sri_Lanka|AS"
"70",70,889,"gi|595077843|gb|KJ010186.1|Dengue_virus_2|02_Oct_2013|2013|Pakistan|AS"
"71",71,821,"gi|567319895|gb|KF041234.1|Dengue_virus_2|2011|2011|Pakistan|AS"
"72",72,818,"gi|567319891|gb|KF041232.1|Dengue_virus_2|2011|2011|Pakistan|AS"
"73",73,821,"gi|567319893|gb|KF041233.1|Dengue_virus_2|2011|2011|Pakistan|AS"
"74",74,810,"gi|567319901|gb|KF041237.1|Dengue_virus_2|2009|2009|Pakistan|AS"
"75",75,813,"gi|567319897|gb|KF041235.1|Dengue_virus_2|2009|2009|Pakistan|AS"
"76",76,818,"gi|228541894|gb|FJ898454.1|Dengue_virus_2|2006|2006|India|AS"
"77",77,812,"gi|187479897|gb|DQ448231.2|Dengue_virus_2|2001|2001|India|AS"
"78",78,470,"gi|228542749|gb|FJ906959.1|Dengue_virus_2|2008|2008|Papua_New_Guinea|OC"
"79",79,463,"gi|300828779|gb|GQ398268.1|Dengue_virus_2|1975|1975|Indonesia|AS"
"80",80,520,"gi|209976573|gb|FJ390389.1|Dengue_virus_2|1944|1944|Papua_New_Guinea|OC"
"81",81,516,"gi|197310667|gb|EU854293.1|Dengue_virus_2|1944|1944|Colombia|SA"
"82",82,703,"gi|335883026|gb|HQ541798.1|Dengue_virus_2|2009|2009|USA|NA"
"83",83,695,"gi|335883034|gb|JF730050.1|Dengue_virus_2|2007|2007|USA|NA"
"84",84,696,"gi|335883036|gb|JF730053.1|Dengue_virus_2|2006|2006|USA|NA"
"85",85,694,"gi|335883030|gb|HQ891023.1|Dengue_virus_2|2008|2008|Taiwan|AS"
"86",86,617,"gi|280987261|gb|GU289914.1|Dengue_virus_2|1974|1974|Thailand|AS"
"87",87,576,"gi|158976983|ref|NC_001474.2|Dengue_virus_2|1964|1964|Thailand|AS"
"88",88,578,"gi|259496212|gb|GQ868591.1|Dengue_virus_2|1964|1964|Thailand|AS"
"89",89,707,"gi|190161816|gb|EU726767.1|Dengue_virus_2|1994|1994|Thailand|AS"
"90",90,743,"gi|563361570|gb|KC964095.1|Dengue_virus_2|1998|1998|China|AS"
"91",91,686,"gi|259496182|gb|GQ868542.1|Dengue_virus_2|1994|1994|Thailand|AS"
"92",92,725,"gi|169144353|gb|EU482784.1|Dengue_virus_2|2003|2003|Viet_Nam|AS"
"93",93,924,"gi|263614699|gb|GU131924.1|Dengue_virus_2|2008|2008|Cambodia|AS"
"94",94,748,"gi|259496288|gb|GQ868631.1|Dengue_virus_2|2008|2008|Cambodia|AS"
"95",95,883,"gi|263614951|gb|GU131932.1|Dengue_virus_2|2008|2008|Cambodia|AS"
"96",96,942,"gi|573974286|gb|KF955402.1|Dengue_virus_2|2008|2008|Cambodia|AS"
"97",97,935,"gi|328924166|gb|JF730045.1|Dengue_virus_2|2008|2008|Cambodia|AS"
"98",98,812,"gi|263614860|gb|GU131929.1|Dengue_virus_2|2008|2008|Cambodia|AS"
"99",99,890,"gi|573974284|gb|KF955401.1|Dengue_virus_2|2008|2008|Cambodia|AS"
"100",100,914,"gi|263614830|gb|GU131928.1|Dengue_virus_2|2008|2008|Cambodia|AS"
"101",101,980,"gi|263614115|gb|GU131897.1|Dengue_virus_2|2007|2007|Cambodia|AS"
"102",102,741,"gi|259496276|gb|GQ868625.1|Dengue_virus_2|2008|2008|Cambodia|AS"
"103",103,737,"gi|221071267|gb|FJ639718.1|Dengue_virus_2|2008|2008|Cambodia|AS"
"104",104,750,"gi|263614226|gb|GU131902.1|Dengue_virus_2|2008|2008|Cambodia|AS"
"105",105,945,"gi|328924168|gb|JF730046.1|Dengue_virus_2|2008|2008|Cambodia|AS"
"106",106,880,"gi|263614921|gb|GU131931.1|Dengue_virus_2|2008|2008|Cambodia|AS"
"107",107,769,"gi|263614183|gb|GU131900.1|Dengue_virus_2|2008|2008|Cambodia|AS"
"108",108,772,"gi|263614141|gb|GU131898.1|Dengue_virus_2|2008|2008|Cambodia|AS"
"109",109,785,"gi|263614205|gb|GU131901.1|Dengue_virus_2|2008|2008|Cambodia|AS"
"110",110,743,"gi|259496274|gb|GQ868624.1|Dengue_virus_2|2007|2007|Cambodia|AS"
"111",111,749,"gi|259496266|gb|GQ868620.1|Dengue_virus_2|2003|2003|Cambodia|AS"
"112",112,892,"gi|263614802|gb|GU131927.1|Dengue_virus_2|2007|2007|Cambodia|AS"
"113",113,717,"gi|225690887|gb|FJ810409.1|Dengue_virus_2|2001|2001|Thailand|AS"
"114",114,717,"gi|224383575|gb|FJ687443.1|Dengue_virus_2|2001|2001|Thailand|AS"
"115",115,717,"gi|224383569|gb|FJ687440.1|Dengue_virus_2|2001|2001|Thailand|AS"
"116",116,717,"gi|224383573|gb|FJ687442.1|Dengue_virus_2|2001|2001|Thailand|AS"
"117",117,717,"gi|224383571|gb|FJ687441.1|Dengue_virus_2|2001|2001|Thailand|AS"
"118",118,733,"gi|259496272|gb|GQ868623.1|Dengue_virus_2|2005|2005|Cambodia|AS"
"119",119,735,"gi|221071247|gb|FJ639709.1|Dengue_virus_2|2005|2005|Cambodia|AS"
"120",120,731,"gi|259496270|gb|GQ868622.1|Dengue_virus_2|2003|2003|Cambodia|AS"
"121",121,732,"gi|221071239|gb|FJ639705.1|Dengue_virus_2|2003|2003|Cambodia|AS"
"122",122,725,"gi|221071241|gb|FJ639706.1|Dengue_virus_2|2004|2004|Cambodia|AS"
"123",123,998,"gi|263614093|gb|GU131896.1|Dengue_virus_2|2007|2007|Cambodia|AS"
"124",124,756,"gi|259496302|gb|GQ868638.1|Dengue_virus_2|2008|2008|Cambodia|AS"
"125",125,782,"gi|392612391|gb|JN368476.1|Dengue_virus_2|2007|2007|Cambodia|AS"
"126",126,740,"gi|221071265|gb|FJ639717.1|Dengue_virus_2|2007|2007|Cambodia|AS"
"127",127,950,"gi|328924170|gb|JF730047.1|Dengue_virus_2|2008|2008|Cambodia|AS"
"128",128,953,"gi|328924172|gb|JF730048.1|Dengue_virus_2|2008|2008|Cambodia|AS"
"129",129,883,"gi|263614887|gb|GU131930.1|Dengue_virus_2|2008|2008|Cambodia|AS"
"130",130,747,"gi|221070203|gb|FJ547067.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"131",131,744,"gi|169144097|gb|EU482656.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"132",132,745,"gi|169144143|gb|EU482679.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"133",133,800,"gi|201071245|emb|FM210246.2|Dengue_virus_2|2005|2005|Viet_Nam|AS"
"134",134,753,"gi|209976651|gb|FJ410200.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"135",135,750,"gi|209976667|gb|FJ410208.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"136",136,744,"gi|221070571|gb|FJ461311.1|Dengue_virus_2|2008|2008|Viet_Nam|AS"
"137",137,756,"gi|209976717|gb|FJ410233.1|Dengue_virus_2|2008|2008|Viet_Nam|AS"
"138",138,748,"gi|209976689|gb|FJ410219.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"139",139,751,"gi|209976569|gb|FJ390387.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"140",140,738,"gi|209976725|gb|FJ410237.1|Dengue_virus_2|2008|2008|Viet_Nam|AS"
"141",141,745,"gi|169144089|gb|EU482652.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"142",142,752,"gi|169143871|gb|EU482543.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"143",143,741,"gi|169143685|gb|EU482450.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"144",144,734,"gi|221070197|gb|FJ547064.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"145",145,733,"gi|169144179|gb|EU482697.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"146",146,734,"gi|209976563|gb|FJ390384.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"147",147,736,"gi|206597903|gb|FJ205878.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"148",148,740,"gi|187610085|gb|EU677148.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"149",149,756,"gi|187610063|gb|EU677137.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"150",150,752,"gi|228535515|gb|FJ859028.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"151",151,767,"gi|197310828|gb|FJ024454.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"152",152,753,"gi|187610065|gb|EU677138.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"153",153,745,"gi|187610026|gb|EU660414.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"154",154,744,"gi|169144193|gb|EU482704.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"155",155,741,"gi|209976521|gb|FJ373299.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"156",156,736,"gi|169143731|gb|EU482473.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"157",157,742,"gi|169144069|gb|EU482642.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"158",158,776,"gi|206597901|gb|FJ205877.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"159",159,774,"gi|187610087|gb|EU677149.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"160",160,743,"gi|187610030|gb|EU660416.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"161",161,745,"gi|187610032|gb|EU660417.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"162",162,759,"gi|190161834|gb|EU726776.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"163",163,754,"gi|187610240|gb|EU687250.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"164",164,744,"gi|187610236|gb|EU687248.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"165",165,742,"gi|197310824|gb|FJ024452.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"166",166,734,"gi|169144339|gb|EU482777.1|Dengue_virus_2|2005|2005|Viet_Nam|AS"
"167",167,737,"gi|201071165|emb|FM210206.1|Dengue_virus_2|2005|2005|Viet_Nam|AS"
"168",168,742,"gi|209976641|gb|FJ410195.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"169",169,743,"gi|169143725|gb|EU482470.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"170",170,742,"gi|169143719|gb|EU482467.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"171",171,1118,"gi|328924174|gb|JF730049.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"172",172,759,"gi|209976697|gb|FJ410223.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"173",173,741,"gi|170666011|gb|EU569721.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"174",174,742,"gi|169143717|gb|EU482466.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"175",175,743,"gi|169144075|gb|EU482645.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"176",176,744,"gi|169144131|gb|EU482673.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"177",177,737,"gi|169144073|gb|EU482644.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"178",178,755,"gi|209976655|gb|FJ410202.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"179",179,780,"gi|263614164|gb|GU131899.1|Dengue_virus_2|2008|2008|Cambodia|AS"
"180",180,744,"gi|169144093|gb|EU482654.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"181",181,743,"gi|221070579|gb|FJ461314.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"182",182,742,"gi|169144085|gb|EU482650.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"183",183,737,"gi|221070566|gb|FJ461309.1|Dengue_virus_2|2008|2008|Viet_Nam|AS"
"184",184,751,"gi|221070558|gb|FJ461305.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"185",185,737,"gi|169143869|gb|EU482542.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"186",186,738,"gi|209976733|gb|FJ410241.1|Dengue_virus_2|2008|2008|Viet_Nam|AS"
"187",187,735,"gi|206597907|gb|FJ205880.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"188",188,727,"gi|201071167|emb|FM210207.1|Dengue_virus_2|2005|2005|Viet_Nam|AS"
"189",189,750,"gi|169144127|gb|EU482671.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"190",190,771,"gi|209976637|gb|FJ410193.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"191",191,748,"gi|206597905|gb|FJ205879.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"192",192,756,"gi|169144077|gb|EU482646.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"193",193,740,"gi|169143715|gb|EU482465.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"194",194,740,"gi|169143735|gb|EU482475.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"195",195,734,"gi|209976565|gb|FJ390385.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"196",196,732,"gi|169144191|gb|EU482703.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"197",197,746,"gi|169144187|gb|EU482701.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"198",198,742,"gi|169144183|gb|EU482699.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"199",199,745,"gi|169143733|gb|EU482474.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"200",200,741,"gi|169144185|gb|EU482700.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"201",201,741,"gi|169144189|gb|EU482702.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"202",202,740,"gi|169144181|gb|EU482698.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"203",203,745,"gi|221070245|gb|FJ562098.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"204",204,732,"gi|228535525|gb|FJ873811.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"205",205,732,"gi|169144091|gb|EU482653.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"206",206,753,"gi|228551493|gb|FJ432724.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"207",207,739,"gi|209976685|gb|FJ410217.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"208",208,716,"gi|225690891|gb|FJ810411.1|Dengue_virus_2|2001|2001|Thailand|AS"
"209",209,715,"gi|224383597|gb|FJ744711.1|Dengue_virus_2|2001|2001|Thailand|AS"
"210",210,716,"gi|225690893|gb|FJ810412.1|Dengue_virus_2|2001|2001|Thailand|AS"
"211",211,716,"gi|224383601|gb|FJ744713.1|Dengue_virus_2|2001|2001|Thailand|AS"
"212",212,715,"gi|263613852|gb|GU131886.1|Dengue_virus_2|2001|2001|Thailand|AS"
"213",213,715,"gi|224383583|gb|FJ687447.1|Dengue_virus_2|2001|2001|Thailand|AS"
"214",214,714,"gi|224383599|gb|FJ744712.1|Dengue_virus_2|2001|2001|Thailand|AS"
"215",215,714,"gi|224383595|gb|FJ744710.1|Dengue_virus_2|2001|2001|Thailand|AS"
"216",216,743,"gi|209976699|gb|FJ410224.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"217",217,737,"gi|169144139|gb|EU482677.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"218",218,741,"gi|169143687|gb|EU482451.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"219",219,729,"gi|169144107|gb|EU482661.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"220",220,736,"gi|209976681|gb|FJ410215.1|Dengue_virus_2|2008|2008|Viet_Nam|AS"
"221",221,733,"gi|169144095|gb|EU482655.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"222",222,738,"gi|169144079|gb|EU482647.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"223",223,739,"gi|209976693|gb|FJ410221.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"224",224,721,"gi|224383623|gb|FJ744724.1|Dengue_virus_2|2001|2001|Thailand|AS"
"225",225,750,"gi|209976769|gb|FJ410259.1|Dengue_virus_2|2008|2008|Viet_Nam|AS"
"226",226,760,"gi|169143723|gb|EU482469.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"227",227,749,"gi|209976707|gb|FJ410228.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"228",228,750,"gi|169143867|gb|EU482541.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"229",229,741,"gi|221070594|gb|FJ461321.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"230",230,743,"gi|169143727|gb|EU482471.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"231",231,739,"gi|169144067|gb|EU482641.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"232",232,742,"gi|221070507|gb|FJ432726.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"233",233,736,"gi|169144121|gb|EU482668.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"234",234,728,"gi|187610238|gb|EU687249.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"235",235,738,"gi|169144125|gb|EU482670.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"236",236,747,"gi|169144115|gb|EU482665.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"237",237,758,"gi|169144119|gb|EU482667.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"238",238,730,"gi|169144137|gb|EU482676.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"239",239,735,"gi|169144111|gb|EU482663.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"240",240,741,"gi|169144195|gb|EU482705.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"241",241,737,"gi|169143713|gb|EU482464.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"242",242,737,"gi|169144101|gb|EU482658.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"243",243,734,"gi|169144071|gb|EU482643.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"244",244,728,"gi|201071185|emb|FM210216.1|Dengue_virus_2|2004|2004|Viet_Nam|AS"
"245",245,737,"gi|169144103|gb|EU482659.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"246",246,739,"gi|169143679|gb|EU482447.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"247",247,736,"gi|169143681|gb|EU482448.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"248",248,737,"gi|169143677|gb|EU482446.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"249",249,733,"gi|169144141|gb|EU482678.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"250",250,733,"gi|169144135|gb|EU482675.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"251",251,743,"gi|169143675|gb|EU482445.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
"252",252,748,"gi|197310836|gb|FJ024458.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"253",253,751,"gi|197310842|gb|FJ024461.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"254",254,748,"gi|187610028|gb|EU660415.1|Dengue_virus_2|2007|2007|Viet_Nam|AS"
"255",255,721,"gi|221071243|gb|FJ639707.1|Dengue_virus_2|2004|2004|Cambodia|AS"
"256",256,717,"gi|259496268|gb|GQ868621.1|Dengue_virus_2|2003|2003|Cambodia|AS"
"257",257,708,"gi|221071245|gb|FJ639708.1|Dengue_virus_2|2005|2005|Cambodia|AS"
"258",258,700,"gi|224383611|gb|FJ744718.1|Dengue_virus_2|2001|2001|Thailand|AS"
"259",259,700,"gi|224383609|gb|FJ744717.1|Dengue_virus_2|2001|2001|Thailand|AS"
"260",260,705,"gi|224383607|gb|FJ744716.1|Dengue_virus_2|2001|2001|Thailand|AS"
"261",261,703,"gi|224383625|gb|FJ744725.1|Dengue_virus_2|2001|2001|Thailand|AS"
"262",262,704,"gi|224383565|gb|FJ687438.1|Dengue_virus_2|2001|2001|Thailand|AS"
"263",263,702,"gi|224383563|gb|FJ687437.1|Dengue_virus_2|2001|2001|Thailand|AS"
"264",264,721,"gi|221070489|gb|FJ639832.1|Dengue_virus_2|2001|2001|Thailand|AS"
"265",265,706,"gi|224383605|gb|FJ744715.1|Dengue_virus_2|2001|2001|Thailand|AS"
"266",266,705,"gi|224383603|gb|FJ744714.1|Dengue_virus_2|2001|2001|Thailand|AS"
"267",267,726,"gi|169144083|gb|EU482649.1|Dengue_virus_2|2006|2006|Viet_Nam|AS"
