Site,Partition,&alpha; ,&beta;<sup>-</sup>,p<sup>-</sup>,&beta;<sup>+</sup>,p<sup>+</sup>,LRT,p-value,# branches under selection,Total branch length
43,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
44,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
45,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
46,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
47,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
48,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
49,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
50,1,0.00,0.00,0.89,91.13,0.11,0.62,0.40,1.00,0.31
51,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
52,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
53,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
54,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
55,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
56,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
57,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
58,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
59,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
60,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
61,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
62,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
63,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
64,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
65,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
66,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
67,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
68,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
69,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
70,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
71,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
72,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
73,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
74,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
75,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
76,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
77,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
78,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
79,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
80,1,13.83,0.00,0.05,0.00,0.95,0.00,0.67,0.00,0.13
81,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
82,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
83,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
84,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
85,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
86,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
87,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
88,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
89,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
90,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
91,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
92,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
93,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
94,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
95,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
96,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
97,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
98,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
99,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
100,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
101,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
102,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
103,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
104,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
105,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
106,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
107,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
108,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
109,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
110,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
111,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
112,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
113,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
114,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
115,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
116,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
117,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
118,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
119,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
120,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
121,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
122,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
123,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
124,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
125,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
126,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
127,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
128,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
129,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
130,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
131,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
132,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
133,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
134,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
135,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
136,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
137,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
138,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
139,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
140,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
141,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
142,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
143,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
144,1,14.13,0.00,0.01,0.00,0.99,0.00,0.67,0.00,0.13
145,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
146,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
147,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
148,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
149,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
150,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
151,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
152,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
153,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
154,1,0.00,0.00,0.86,102.89,0.14,0.32,0.48,1.00,0.47
155,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
156,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
157,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
158,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
159,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
160,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
161,1,17.94,0.00,0.04,0.00,0.96,0.00,0.67,0.00,0.17
162,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
163,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
164,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
165,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
166,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
167,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
168,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
169,1,21.60,0.00,0.02,0.00,0.98,0.00,0.67,0.00,0.21
170,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
171,1,13.57,0.00,0.02,0.00,0.98,0.00,0.67,0.00,0.13
172,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
173,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
174,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
175,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
176,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
177,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
178,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
179,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
180,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
181,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
182,1,0.00,0.00,0.00,5.95,1.00,0.30,0.49,1.00,0.19
183,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
184,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
185,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
186,1,14.13,0.00,0.01,0.00,0.99,0.00,0.67,0.00,0.13
187,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
188,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
189,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
190,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
191,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
192,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
193,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
194,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
195,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
196,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
197,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
198,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
199,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
200,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
201,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
202,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
203,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
204,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
205,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
206,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
207,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
208,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
209,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
210,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
211,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
212,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
213,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
214,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
215,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
216,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
217,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
218,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
219,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
220,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
221,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
222,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
223,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
224,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
225,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
226,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
227,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
228,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
229,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
230,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
231,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
232,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
233,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
234,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
235,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
236,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
237,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
238,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
239,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
240,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
241,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
242,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
243,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
244,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
245,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
246,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
247,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
248,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
249,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
250,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
251,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
252,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
253,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
254,1,0.00,0.00,0.00,8.28,1.00,0.51,0.43,1.00,0.26
255,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
256,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
257,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
258,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
259,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
260,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
261,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
262,1,0.00,0.00,0.42,18.36,0.58,0.68,0.38,1.00,0.33
263,1,0.00,0.00,0.06,11.17,0.94,0.51,0.43,1.00,0.33
264,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
265,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
266,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
267,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
268,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
269,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
270,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
271,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
272,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
273,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
274,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
275,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
276,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
277,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
278,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
279,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
280,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
281,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
282,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
283,1,0.00,0.00,0.00,24.86,1.00,0.20,0.53,1.00,0.78
284,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
285,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
286,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
287,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
288,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
289,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
290,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
291,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
292,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
293,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
294,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
295,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
296,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
297,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
298,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
299,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
300,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
301,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
302,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
303,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
304,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
305,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
306,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
307,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
308,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
309,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
310,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
311,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
312,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
313,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
314,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
315,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
316,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
317,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
318,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
319,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
320,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
321,1,13.86,0.00,0.02,0.00,0.98,0.00,0.67,0.00,0.13
322,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
323,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
324,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
325,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
326,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
327,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
328,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
329,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
330,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
331,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
332,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
333,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
334,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
335,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
336,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
337,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
338,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
339,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
340,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
341,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
342,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
343,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
344,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
345,1,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00
