"","Site","Partition","X.alpha.","X.beta..sup....sup.","p.sup....sup.","X.beta..sup....sup..1","p.sup....sup..1","LRT","p.value","X..branches.under.selection","Total.branch.length"
"73",73,1,3.59,0,0.14,0,0.86,0,0.67,0,3.64
"74",74,1,0,0,1,0,0,0,1,0,0
"75",75,1,0.13,0.13,0.73,0.01,0.27,0,0.67,0,0.35
"76",76,1,0,0,0,2.71,1,7.78,0.01,11,5.77
"77",77,1,0.51,0,0.04,0,0.96,0,0.67,0,0.51
"78",78,1,0,0,1,0,0,0,1,0,0
"79",79,1,0,0,0.51,0.66,0.49,1.48,0.24,2,0.69
"80",80,1,0,0,0.01,0.64,0.99,1.89,0.19,4,1.36
"81",81,1,0,0,1,0,0,0,1,0,0
"82",82,1,8.07,3.48,0.06,0.06,0.94,0,0.67,0,8.77
"83",83,1,0,0,0.05,0.47,0.95,1.31,0.27,3,0.96
"84",84,1,0.63,0.4,0.4,0,0.6,0,0.67,0,0.98
"85",85,1,0.12,0.12,1,0.06,0,0,0.67,0,0.39
"86",86,1,0.35,0,0.02,0,0.98,0,0.67,0,0.35
"87",87,1,0,0,1,0,0,0,1,0,0
"88",88,1,0,0,1,0,0,0,1,0,0
"89",89,1,0,0,0.58,0.6,0.42,2,0.18,1,0.54
"90",90,1,0,0,1,0,0,0,1,0,0
"91",91,1,0.31,0.3,0.51,0.01,0.49,0,0.67,0,0.66
"92",92,1,0,0,0.2,0.93,0.8,3.56,0.08,5,1.59
"93",93,1,0,0,0.75,0,0.25,0,0.67,0,0
"94",94,1,0.23,0,0.02,0,0.98,0,0.67,0,0.23
"95",95,1,0,0,1,0,0,0,1,0,0
"96",96,1,0,0,0.54,1.42,0.46,3.01,0.11,4,1.4
"97",97,1,0,0,0.03,0.16,0.97,0.74,0.37,1,0.34
"98",98,1,0,0,0.98,73.44,0.02,8.75,0.01,4,3.46
"99",99,1,3.79,0,0.01,0,0.99,0,0.67,0,3.84
"100",100,1,9.24,1.04,0.46,0.64,0.54,0,0.67,0,11.14
"101",101,1,2.39,1.1,0.74,0.71,0.26,0,0.67,0,4.56
"102",102,1,0,0,1,0,0,0,1,0,0
"103",103,1,0.32,0.32,0.66,0.26,0.34,0,0.67,0,0.96
"104",104,1,0.23,0,0.02,0,0.98,0,0.67,0,0.23
"105",105,1,0,0,0.48,0.56,0.52,1.53,0.24,2,0.62
"106",106,1,2.18,1.19,0.12,0.02,0.88,0,0.67,0,2.56
"107",107,1,0,0,0.3,0.26,0.7,0.52,0.42,1,0.38
"108",108,1,0,0,1,0,0,0,1,0,0
"109",109,1,0.89,0.89,0.85,0,0.15,0,0.67,0,2.53
"110",110,1,0,0,0,1.07,1,4.49,0.05,5,2.27
"111",111,1,0.22,0,0.02,0,0.98,0,0.67,0,0.23
"112",112,1,0,0,1,0,0,0,1,0,0
"113",113,1,6.21,1.81,0.34,0.68,0.66,0,0.67,0,8.57
"114",114,1,3.42,1.01,0.84,0.89,0.16,0,0.67,0,5.59
"115",115,1,10.23,0.71,0.11,0.07,0.89,0,0.67,0,10.69
"116",116,1,1.58,0.68,0.21,0,0.79,0,0.67,0,1.91
"117",117,1,6.47,6.47,0.02,0,0.98,0,0.67,0,6.86
"118",118,1,2.76,2.21,0.4,0,0.6,0,0.67,0,4.67
"119",119,1,1.59,0,0.14,0,0.86,0,0.67,0,1.61
"120",120,1,3.2,1.45,0.3,0,0.7,0,0.67,0,4.19
"121",121,1,0,0,1,0,0,0,1,0,0
"122",122,1,5.49,2.37,0.87,1.92,0.13,0,0.67,0,10.48
"123",123,1,2.91,1.44,0.26,0.08,0.74,0,0.67,0,3.88
"124",124,1,0,0,0.47,0.35,0.53,0.53,0.42,1,0.4
"125",125,1,3.68,1.28,0.02,0.12,0.98,0,0.67,0,4.04
"126",126,1,3.83,2.64,1,2.37,0,0,0.67,0,9.5
"127",127,1,0,0,0.15,3.69,0.85,14.67,0,17,6.67
"128",128,1,1.08,0.66,0.45,0,0.55,0,0.67,0,1.73
"129",129,1,0,0,0.52,0.26,0.48,0.55,0.42,1,0.26
"130",130,1,2.39,2.39,0.24,0,0.76,0,0.67,0,3.64
"131",131,1,0.34,0.33,0.62,2.32,0.38,1.56,0.23,0,2.66
"132",132,1,0,0,0.37,0.28,0.63,0.8,0.36,1,0.37
"133",133,1,0,0,0.5,0.83,0.5,0.15,0.55,4,0.89
"134",134,1,0.6,0.6,0,1.57,1,1.07,0.31,0,3.96
"135",135,1,0,0,1,0,0,0,1,0,0
"136",136,1,3.15,1.69,0.11,0,0.89,0,0.67,0,3.61
"137",137,1,5.04,3.12,0.06,0,0.94,0,0.67,0,5.51
"138",138,1,4.47,0,0.04,0,0.96,0,0.67,0,4.53
"139",139,1,0,0,1,0,0,0,1,0,0
"140",140,1,2.69,1.1,0.53,0.03,0.47,0,0.67,0,3.99
"141",141,1,0,0,1,0,0,0,1,0,0
"142",142,1,0.36,0.36,0.22,0.08,0.78,0,0.67,0,0.67
"143",143,1,0.28,0.28,0,1.99,1,5.84,0.02,0,4.52
"144",144,1,5.08,1.77,0.1,0.03,0.9,0,0.67,0,5.59
"145",145,1,0,0,0.94,42.61,0.06,19.24,0,10,5.86
"146",146,1,8.67,0,0.02,0,0.98,0,0.67,0,8.79
"147",147,1,0,0,1,0,0,0,1,0,0
"148",148,1,4.44,0,0.05,0,0.95,0,0.67,0,4.51
"149",149,1,0,0,1,0,0,0,1,0,0
"150",150,1,0.43,0.27,0.53,0,0.47,0,0.67,0,0.75
"151",151,1,0,0,1,0,0,0,1,0,0
"152",152,1,0,0,1,0,0,0,1,0,0
"153",153,1,0,0,1,0,0,0,1,0,0
"154",154,1,2.6,0,0.04,0,0.96,0,0.67,0,2.64
"155",155,1,12.92,0,0.05,0,0.95,0,0.67,0,13.1
"156",156,1,0.33,0.33,0.68,0,0.32,0,0.67,0,0.82
"157",157,1,0,0,1,0,0,0,1,0,0
"158",158,1,0,0,0.44,0.54,0.56,0.89,0.34,2,0.64
"159",159,1,0,0,0.97,38.47,0.03,6.16,0.02,5,2.5
"160",160,1,0,0,0.33,1.54,0.67,4.95,0.04,9,2.2
"161",161,1,0,0,0,2.39,1,6.95,0.01,12,5.1
"162",162,1,0,0,0.64,0.7,0.36,2.02,0.18,1,0.55
"163",163,1,0,0,1,0,0,0,1,0,0
"164",164,1,0,0,0.93,17.99,0.07,7.85,0.01,8,2.59
"165",165,1,0,0,1,0,0,0,1,0,0
"166",166,1,0,0,0.1,0.16,0.9,0.77,0.36,1,0.32
"167",167,1,0,0,1,0,0,0,1,0,0
"168",168,1,0,0,0.54,1.78,0.46,4.14,0.06,4,1.73
"169",169,1,0.36,0.3,0.52,0,0.48,0,0.67,0,0.7
"170",170,1,0,0,1,0,0,0,1,0,0
"171",171,1,7.8,2.55,0.07,0,0.93,0,0.67,0,8.3
"172",172,1,0.32,0.31,0.59,0.66,0.41,0,0.66,0,1.28
"173",173,1,0,0,0.62,0.83,0.38,1.64,0.22,2,0.68
"174",174,1,0,0,0.15,0.31,0.85,0.79,0.36,2,0.57
"175",175,1,0,0,0.54,1.9,0.46,5.13,0.04,4,1.88
"176",176,1,0.44,0,0.05,0,0.95,0,0.67,0,0.45
"177",177,1,0.85,0.85,0.43,2.26,0.57,1.11,0.3,0,4.4
"178",178,1,0,0,0,0.29,1,1.96,0.19,2,0.61
"179",179,1,0.25,0.25,1,0.09,0,0,0.67,0,0.79
"180",180,1,0,0,0.04,0.17,0.96,0.75,0.37,1,0.35
"181",181,1,0,0,0.44,0.76,0.56,1.96,0.19,3,0.92
"182",182,1,0.33,0.33,0.67,0,0.33,0,0.67,0,0.82
"183",183,1,0,0,0,0.45,1,1.32,0.26,3,0.97
"184",184,1,1.15,1.15,0.28,1.61,0.72,0.21,0.52,0,4.32
"185",185,1,0,0,0.3,0.23,0.7,0.92,0.33,1,0.35
"186",186,1,0,0,0.03,0.16,0.97,0.74,0.37,1,0.34
"187",187,1,0,0,1,0,0,0,1,0,0
"188",188,1,0,0,1,0,0,0,1,0,0
"189",189,1,0,0,0.41,1.72,0.59,4.68,0.04,7,2.15
"190",190,1,5.5,1.89,0.03,0.11,0.97,0,0.67,0,5.93
"191",191,1,0,0,1,0,0,0,1,0,0
"192",192,1,0,0,0.48,0.61,0.52,1.46,0.24,2,0.68
"193",193,1,0.23,0.23,0,2.59,1,10.42,0,0,5.75
"194",194,1,0,0,0,1.96,1,9.06,0,9,4.19
"195",195,1,0,0,0,1.23,1,4.1,0.06,10,2.62
"196",196,1,0,0,0.07,2.7,0.93,0.93,0.33,11,5.38
"197",197,1,0,0,1,0,0,0,1,0,0
"198",198,1,27.01,1.62,0.11,1.56,0.89,0,0.67,0,30.74
"199",199,1,0,0,0.27,0.62,0.73,0.05,0.61,2,0.96
"200",200,1,1.82,1.75,0.64,1.18,0.36,0,0.67,0,5.14
"201",201,1,0,0,1,0,0,0,1,0,0
"202",202,1,0,0,0.3,0.24,0.7,0.92,0.33,1,0.35
"203",203,1,0,0,0.97,82.68,0.03,11.1,0,7,4.48
"204",204,1,0,0,0,3.18,1,9.26,0,18,6.78
"205",205,1,0.34,0.34,0.55,0.16,0.45,0,0.67,0,0.88
"206",206,1,2.43,2.43,1,2.2,0,0,0.67,0,7.64
"207",207,1,0,0,0,2.36,1,7.19,0.01,18,5.03
"208",208,1,0,0,0.15,1.78,0.85,7.19,0.01,10,3.21
"209",209,1,0,0,0.02,1.24,0.98,7.09,0.01,5,2.58
"210",210,1,0,0,0.69,11.05,0.31,12.26,0,22,7.27
"211",211,1,1.26,0.71,0.58,0.07,0.42,0,0.67,0,2.22
"212",212,1,0.25,0.25,1,0.09,0,0,0.67,0,0.79
"213",213,1,0,0,0,3.24,1,11.23,0,17,6.9
"214",214,1,4.04,1.73,0.09,0,0.91,0,0.67,0,4.41
"215",215,1,1.32,0,0.17,0,0.83,0,0.67,0,1.34
"216",216,1,0.27,0.27,0.99,241.71,0.01,9.75,0,3,4.62
"217",217,1,1.36,0.87,0.34,0,0.66,0,0.67,0,2
"218",218,1,0,0,0.47,0.54,0.53,1.15,0.29,2,0.62
"219",219,1,1.89,0,0.19,0,0.81,0,0.67,0,1.92
"220",220,1,3.11,1.04,0.74,0.78,0.26,0,0.67,0,5.24
"221",221,1,0,0,0,2.34,1,6.78,0.02,11,4.99
"222",222,1,4.6,0,0.02,0,0.98,0,0.67,0,4.67
"223",223,1,0,0,1,0,0,0,1,0,0
"224",224,1,0.9,0.9,0.52,1.42,0.48,0.15,0.55,0,3.37
"225",225,1,0,0,0,0.55,1,1.67,0.22,4,1.17
"226",226,1,3.09,1.24,0.12,0,0.88,0,0.67,0,3.45
