"","num","Differences","sequencename"
"1",1,365,"gi|482514307|gb|KC570453.1|EV_A71|03_Jun_2012|2012|China|AS"
"130",130,247,"gi|344030778|gb|JF925116.1|Echovirus_E11|Feb_2011|2011|Russia|AS"
"131",131,247,"gi|344030776|gb|JF925115.1|Echovirus_E11|Feb_2011|2011|Russia|AS"
"132",132,247,"gi|344030780|gb|JF925117.1|Echovirus_E11|Feb_2011|2011|Russia|AS"
"133",133,248,"gi|344030772|gb|JF925113.1|Echovirus_E11|Feb_2011|2011|Russia|AS"
"134",134,246,"gi|344030774|gb|JF925114.1|Echovirus_E11|Feb_2011|2011|Russia|AS"
"135",135,246,"gi|344030770|gb|JF925112.1|Echovirus_E11|Feb_2011|2011|Russia|AS"
"136",136,244,"gi|312284461|gb|HQ286040.1|Echovirus_E11|1994|1994|China|AS"
"137",137,248,"gi|254973344|gb|GQ329794.1|Echovirus_E11|1996|1996|China|AS"
"138",138,249,"gi|380309499|gb|JF969458.1|Echovirus_E11|2010|2010|China|AS"
"139",139,249,"gi|380309497|gb|JF969457.1|Echovirus_E11|2010|2010|China|AS"
"140",140,250,"gi|380309489|gb|JF969453.1|Echovirus_E11|2010|2010|China|AS"
"141",141,250,"gi|380309485|gb|JF969451.1|Echovirus_E11|2010|2010|China|AS"
"142",142,250,"gi|380309481|gb|JF969449.1|Echovirus_E11|2010|2010|China|AS"
"143",143,250,"gi|380309505|gb|JF969461.1|Echovirus_E11|2010|2010|China|AS"
"144",144,248,"gi|380309457|gb|JF969437.1|Echovirus_E11|2010|2010|China|AS"
"145",145,248,"gi|380309453|gb|JF969435.1|Echovirus_E11|2010|2010|China|AS"
"146",146,249,"gi|380309491|gb|JF969454.1|Echovirus_E11|2010|2010|China|AS"
"147",147,242,"gi|380309433|gb|JF969425.1|Echovirus_E11|2010|2010|China|AS"
"148",148,245,"gi|380309403|gb|JF969410.1|Echovirus_E11|2010|2010|China|AS"
"149",149,244,"gi|380309399|gb|JF969408.1|Echovirus_E11|2010|2010|China|AS"
"150",150,244,"gi|380309397|gb|JF969407.1|Echovirus_E11|2010|2010|China|AS"
"151",151,243,"gi|380309395|gb|JF969406.1|Echovirus_E11|2010|2010|China|AS"
"152",152,252,"gi|380309437|gb|JF969427.1|Echovirus_E11|2010|2010|China|AS"
"153",153,246,"gi|308741885|gb|HM446211.1|Echovirus_E11|2008|2008|China|AS"
"154",154,246,"gi|380309467|gb|JF969442.1|Echovirus_E11|2010|2010|China|AS"
"155",155,246,"gi|380309459|gb|JF969438.1|Echovirus_E11|2010|2010|China|AS"
"156",156,248,"gi|380309475|gb|JF969446.1|Echovirus_E11|2010|2010|China|AS"
"157",157,245,"gi|526303991|gb|KC867098.1|Echovirus_E11|Sep_2012|2012|China|AS"
"158",158,244,"gi|597439017|dbj|AB917080.1|Echovirus_E11|2013|2013|China|AS"
"159",159,246,"gi|597439015|dbj|AB917079.1|Echovirus_E11|2013|2013|China|AS"
"160",160,245,"gi|380309435|gb|JF969426.1|Echovirus_E11|2010|2010|China|AS"
"161",161,255,"gi|380309507|gb|JF969462.1|Echovirus_E11|2010|2010|China|AS"
"162",162,250,"gi|308741889|gb|HM446213.1|Echovirus_E11|2008|2008|China|AS"
"163",163,245,"gi|380309401|gb|JF969409.1|Echovirus_E11|2010|2010|China|AS"
"164",164,243,"gi|380309425|gb|JF969421.1|Echovirus_E11|2010|2010|China|AS"
"165",165,240,"gi|380309431|gb|JF969424.1|Echovirus_E11|2010|2010|China|AS"
"166",166,240,"gi|380309429|gb|JF969423.1|Echovirus_E11|2010|2010|China|AS"
"167",167,240,"gi|380309427|gb|JF969422.1|Echovirus_E11|2010|2010|China|AS"
"168",168,251,"gi|380309461|gb|JF969439.1|Echovirus_E11|2010|2010|China|AS"
"169",169,244,"gi|380309421|gb|JF969419.1|Echovirus_E11|2010|2010|China|AS"
"170",170,244,"gi|380309419|gb|JF969418.1|Echovirus_E11|2010|2010|China|AS"
"171",171,244,"gi|380309417|gb|JF969417.1|Echovirus_E11|2010|2010|China|AS"
"172",172,244,"gi|380309411|gb|JF969414.1|Echovirus_E11|2010|2010|China|AS"
"173",173,244,"gi|380309409|gb|JF969413.1|Echovirus_E11|2010|2010|China|AS"
"174",174,244,"gi|380309407|gb|JF969412.1|Echovirus_E11|2010|2010|China|AS"
"175",175,245,"gi|380309413|gb|JF969415.1|Echovirus_E11|2010|2010|China|AS"
"176",176,243,"gi|254973340|gb|GQ329792.1|Echovirus_E11|2006|2006|China|AS"
"177",177,243,"gi|380309451|gb|JF969434.1|Echovirus_E11|2010|2010|China|AS"
"178",178,254,"gi|380309473|gb|JF969445.1|Echovirus_E11|2010|2010|China|AS"
"179",179,248,"gi|308741893|gb|HM446215.1|Echovirus_E11|2009|2009|China|AS"
"180",180,251,"gi|380309477|gb|JF969447.1|Echovirus_E11|2010|2010|China|AS"
"181",181,248,"gi|380309449|gb|JF969433.1|Echovirus_E11|2010|2010|China|AS"
"182",182,245,"gi|380309501|gb|JF969459.1|Echovirus_E11|2010|2010|China|AS"
"183",183,245,"gi|380309479|gb|JF969448.1|Echovirus_E11|2010|2010|China|AS"
"184",184,245,"gi|380309495|gb|JF969456.1|Echovirus_E11|2010|2010|China|AS"
"185",185,245,"gi|380309493|gb|JF969455.1|Echovirus_E11|2010|2010|China|AS"
"186",186,245,"gi|380309487|gb|JF969452.1|Echovirus_E11|2010|2010|China|AS"
"187",187,245,"gi|380309483|gb|JF969450.1|Echovirus_E11|2010|2010|China|AS"
"188",188,244,"gi|380309463|gb|JF969440.1|Echovirus_E11|2010|2010|China|AS"
"189",189,244,"gi|380309465|gb|JF969441.1|Echovirus_E11|2010|2010|China|AS"
"190",190,246,"gi|380309415|gb|JF969416.1|Echovirus_E11|2010|2010|China|AS"
"191",191,246,"gi|380309405|gb|JF969411.1|Echovirus_E11|2010|2010|China|AS"
"192",192,242,"gi|380309423|gb|JF969420.1|Echovirus_E11|2010|2010|China|AS"
"193",193,253,"gi|308741891|gb|HM446214.1|Echovirus_E11|2009|2009|China|AS"
"194",194,244,"gi|308741887|gb|HM446212.1|Echovirus_E11|2008|2008|China|AS"
"195",195,248,"gi|312284459|gb|HQ286039.1|Echovirus_E11|2007|2007|China|AS"
"196",196,252,"gi|254973342|gb|GQ329793.1|Echovirus_E11|2006|2006|China|AS"
"197",197,252,"gi|254973338|gb|GQ329791.1|Echovirus_E11|2003|2003|China|AS"
"198",198,252,"gi|312284469|gb|HQ286044.1|Echovirus_E11|1999|1999|China|AS"
"199",199,256,"gi|308741877|gb|HM446207.1|Echovirus_E11|2000|2000|China|AS"
"200",200,255,"gi|308741879|gb|HM446208.1|Echovirus_E11|2000|2000|China|AS"
"201",201,255,"gi|308741875|gb|HM446206.1|Echovirus_E11|2000|2000|China|AS"
"202",202,256,"gi|254973336|gb|GQ329790.1|Echovirus_E11|2000|2000|China|AS"
"203",203,256,"gi|308741881|gb|HM446209.1|Echovirus_E11|2000|2000|China|AS"
"204",204,259,"gi|312284457|gb|HQ286038.1|Echovirus_E11|2007|2007|China|AS"
"205",205,257,"gi|308741883|gb|HM446210.1|Echovirus_E11|2001|2001|China|AS"
"206",206,261,"gi|315319105|gb|HQ674722.1|Echovirus_E11|2003|2003|Tunisia|AF"
"207",207,270,"gi|315319107|gb|HQ674723.1|Echovirus_E11|2009|2009|Libya|NA"
"208",208,248,"gi|168203112|gb|EU443624.1|Echovirus_E30|1989|1989|Taiwan|AS"
"209",209,252,"gi|409684959|gb|JX513490.1|Echovirus_E11|01_Sep_2008|2008|India|AS"
"210",210,260,"gi|312284465|gb|HQ286042.1|Echovirus_E11|1997|1997|China|AS"
"211",211,255,"gi|254973346|gb|GQ329795.1|Echovirus_E11|1997|1997|China|AS"
"212",212,261,"gi|380309503|gb|JF969460.1|Echovirus_E11|1996|1996|China|AS"
"213",213,264,"gi|312284467|gb|HQ286043.1|Echovirus_E11|1995|1995|China|AS"
"214",214,264,"gi|312284463|gb|HQ286041.1|Echovirus_E11|1994|1994|China|AS"
"215",215,255,"gi|597439019|dbj|AB917081.1|Echovirus_E11|2013|2013|China|AS"
"216",216,261,"gi|315319069|gb|HQ674704.1|Echovirus_E11|2008|2008|Algeria|AF"
"217",217,260,"gi|315319071|gb|HQ674705.1|Echovirus_E11|2008|2008|Algeria|AF"
"218",218,259,"gi|315319063|gb|HQ674701.1|Echovirus_E11|2008|2008|Algeria|AF"
"219",219,259,"gi|409684931|gb|JX513480.1|Echovirus_E11|24_Nov_2008|2008|India|AS"
"220",220,259,"gi|409684934|gb|JX513481.1|Echovirus_E11|25_Nov_2008|2008|India|AS"
"221",221,268,"gi|513136907|gb|KF177048.1|Echovirus_E11|29_Sep_2009|2009|India|AS"
"222",222,251,"gi|409684922|gb|JX513477.1|Echovirus_E11|02_May_2008|2008|India|AS"
"223",223,249,"gi|409684916|gb|JX513475.1|Echovirus_E11|01_May_2008|2008|India|AS"
"224",224,249,"gi|409684914|gb|JX513474.1|Echovirus_E11|01_May_2008|2008|India|AS"
"225",225,261,"gi|513136896|gb|KF177037.1|Echovirus_E11|03_Aug_2009|2009|India|AS"
"226",226,261,"gi|513136895|gb|KF177036.1|Echovirus_E11|18_Jul_2009|2009|India|AS"
"227",227,254,"gi|513136906|gb|KF177047.1|Echovirus_E11|15_Sep_2009|2009|India|AS"
"228",228,248,"gi|513136909|gb|KF177050.1|Echovirus_E11|15_Sep_2009|2009|India|AS"
"229",229,250,"gi|513136905|gb|KF177046.1|Echovirus_E11|28_Aug_2009|2009|India|AS"
"230",230,250,"gi|254554130|gb|GQ292714.1|Human_enterovirus_107|Jul_2008|2008|Pakistan|AS"
"231",231,255,"gi|254973418|gb|GQ329831.1|Echovirus_E29|2009|2009|China|AS"
"232",232,253,"gi|254973424|gb|GQ329834.1|Echovirus_E29|1997|1997|China|AS"
"233",233,252,"gi|254973422|gb|GQ329833.1|Echovirus_E29|1997|1997|China|AS"
"234",234,261,"gi|254973416|gb|GQ329830.1|Echovirus_E29|2009|2009|China|AS"
"235",235,263,"gi|254973426|gb|GQ329835.1|Echovirus_E29|1998|1998|China|AS"
"236",236,253,"gi|254973420|gb|GQ329832.1|Echovirus_E29|2004|2004|China|AS"
"237",237,244,"gi|451963816|gb|JX437651.1|Echovirus_E29|2008|2008|Cameroon|AF"
"238",238,241,"gi|451963822|gb|JX437654.1|Echovirus_E29|2008|2008|Cameroon|AF"
"239",239,240,"gi|451963820|gb|JX437653.1|Echovirus_E29|2008|2008|Cameroon|AF"
"240",240,254,"gi|451963818|gb|JX437652.1|Echovirus_E29|2008|2008|Cameroon|AF"
"241",241,255,"gi|451963814|gb|JX437650.1|Echovirus_E29|2009|2009|Cameroon|AF"
"242",242,254,"gi|409685084|gb|JX513534.1|Echovirus_E29|14_Oct_2010|2010|India|AS"
"243",243,267,"gi|409685087|gb|JX513535.1|Echovirus_E29|01_Jun_2011|2011|India|AS"
"244",244,273,"gi|409685081|gb|JX513533.1|Echovirus_E29|30_Dec_2010|2010|India|AS"
"245",245,247,"gi|409685078|gb|JX513532.1|Echovirus_E29|09_Dec_2010|2010|India|AS"
"246",246,262,"gi|402830005|gb|JQ397329.1|EV_B74|08_Dec_2010|2010|China|AS"
"247",247,262,"gi|513136915|gb|KF177056.1|Echovirus_E12|27_Oct_2010|2010|India|AS"
"248",248,264,"gi|254973350|gb|GQ329797.1|Echovirus_E12|2006|2006|China|AS"
"249",249,262,"gi|254973352|gb|GQ329798.1|Echovirus_E12|1998|1998|China|AS"
"250",250,258,"gi|254973348|gb|GQ329796.1|Echovirus_E12|2004|2004|China|AS"
"251",251,279,"gi|385843264|gb|JF980722.1|Echovirus_E3|1998|1998|Tunisia|AF"
"252",252,280,"gi|385843250|gb|JF980715.1|Echovirus_E3|1995|1995|Tunisia|AF"
"253",253,270,"gi|258523423|gb|FJ868316.1|Echovirus_E3|09_May_1995|1995|Australia|OC"
"254",254,268,"gi|258523375|gb|FJ868292.1|Echovirus_E3|05_Apr_1995|1995|Australia|OC"
"255",255,270,"gi|258523421|gb|FJ868315.1|Echovirus_E3|12_Apr_1995|1995|Australia|OC"
"256",256,267,"gi|258523377|gb|FJ868293.1|Echovirus_E3|02_May_1995|1995|Australia|OC"
"257",257,283,"gi|589061675|gb|KF246758.1|Echovirus_E3|2010|2010|China|AS"
"258",258,273,"gi|288190855|gb|GU272015.1|Echovirus_E3|28_May_2009|2009|China|AS"
"259",259,270,"gi|254973310|gb|GQ329777.1|Echovirus_E3|2004|2004|China|AS"
"260",260,278,"gi|110350228|emb|AM236930.1|Echovirus_E3|Jun_2005|2005|France|EU"
"261",261,279,"gi|528312258|emb|HF948092.1|Echovirus_E3|2005|2005|France|EU"
"262",262,277,"gi|110350230|emb|AM236931.1|Echovirus_E3|Jul_2005|2005|France|EU"
"263",263,273,"gi|385843262|gb|JF980721.1|Echovirus_E3|2007|2007|Tunisia|AF"
"264",264,272,"gi|385843258|gb|JF980719.1|Echovirus_E3|2008|2008|Tunisia|AF"
"265",265,270,"gi|385843266|gb|JF980723.1|Echovirus_E3|1995|1995|Tunisia|AF"
"266",266,270,"gi|385843252|gb|JF980716.1|Echovirus_E3|1997|1997|Tunisia|AF"
"267",267,268,"gi|333497167|gb|HQ538437.1|Echovirus_E3|2010|2010|China|AS"
"268",268,282,"gi|513136873|gb|KF177014.1|Echovirus_E3|25_Jun_2009|2009|India|AS"
"269",269,276,"gi|409684842|gb|JX513449.1|Echovirus_E3|03_Jun_2009|2009|India|AS"
"270",270,275,"gi|254973308|gb|GQ329776.1|Echovirus_E3|2000|2000|China|AS"
"271",271,266,"gi|385843254|gb|JF980717.1|Echovirus_E3|1997|1997|Tunisia|AF"
"272",272,257,"gi|385843260|gb|JF980720.1|Echovirus_E3|1995|1995|Tunisia|AF"
"273",273,260,"gi|385843256|gb|JF980718.1|Echovirus_E3|1995|1995|Tunisia|AF"
"274",274,314,"gi|409685075|gb|JX513531.1|Echovirus_E27|05_Jan_2010|2010|India|AS"
"275",275,298,"gi|409685072|gb|JX513530.1|Echovirus_E27|11_May_2009|2009|India|AS"
"276",276,296,"gi|159025548|emb|AM711037.1|Echovirus_E13|2006|2006|France|EU"
"277",277,249,"gi|254973306|gb|GQ329775.1|E_1|1997|1997|China|AS"
"278",278,254,"gi|513136866|gb|KF177007.1|E_1|02_Sep_2010|2010|India|AS"
"279",279,261,"gi|513136863|gb|KF177004.1|E_1|03_Jul_2010|2010|India|AS"
"280",280,263,"gi|513136858|gb|KF176999.1|E_1|28_Jul_2010|2010|India|AS"
"281",281,260,"gi|513136864|gb|KF177005.1|E_1|29_Jul_2010|2010|India|AS"
"282",282,262,"gi|513136870|gb|KF177011.1|E_1|12_Jun_2010|2010|India|AS"
"283",283,264,"gi|513136857|gb|KF176998.1|E_1|26_Jul_2010|2010|India|AS"
