"","num","Differences","sequencename"
"1",1,2871,"gi|9626685|ref|NC_001477.1|Dengue_virus_1|NA|NA|NA|NA"
"33",33,117,"gi|228541500|gb|FJ898441.1|Dengue_virus_3|2006|2006|Mexico|NA"
"34",34,116,"gi|225690971|gb|FJ850094.1|Dengue_virus_3|2008|2008|Brazil|SA"
"35",35,109,"gi|333652058|gb|HQ235027.1|Dengue_virus_3|2007|2007|Paraguay|SA"
"36",36,111,"gi|225690967|gb|FJ850092.1|Dengue_virus_3|2007|2007|Brazil|SA"
"37",37,106,"gi|225690961|gb|FJ850089.1|Dengue_virus_3|2006|2006|Brazil|SA"
"38",38,88,"gi|225690949|gb|FJ850083.1|Dengue_virus_3|2004|2004|Brazil|SA"
"39",39,83,"gi|389565790|gb|JF808119.1|Dengue_virus_3|2004|2004|Brazil|SA"
"40",40,78,"gi|228541692|gb|FJ898447.1|Dengue_virus_3|2003|2003|Brazil|SA"
"41",41,78,"gi|225690943|gb|FJ850080.1|Dengue_virus_3|2003|2003|Brazil|SA"
"42",42,95,"gi|225690955|gb|FJ850086.1|Dengue_virus_3|2005|2005|Brazil|SA"
"43",43,91,"gi|209976539|gb|FJ390372.1|Dengue_virus_3|2003|2003|USA|NA"
"44",44,101,"gi|197310723|gb|FJ024467.1|Dengue_virus_3|2004|2004|USA|NA"
"45",45,320,"gi|573974425|gb|KF955473.1|Dengue_virus_3|2002|2002|Brazil|SA"
"46",46,231,"gi|263613096|gb|GU131866.1|Dengue_virus_3|2007|2007|Brazil|SA"
"47",47,107,"gi|169143895|gb|EU482555.1|Dengue_virus_3|2006|2006|USA|NA"
"48",48,105,"gi|169635114|gb|EU529696.1|Dengue_virus_3|1999|1999|USA|NA"
"49",49,106,"gi|169635106|gb|EU529692.1|Dengue_virus_3|2006|2006|USA|NA"
"50",50,106,"gi|169143913|gb|EU482564.1|Dengue_virus_3|2003|2003|USA|NA"
"51",51,103,"gi|204305614|gb|FJ182038.1|Dengue_virus_3|2005|2005|USA|NA"
"52",52,100,"gi|204305592|gb|FJ182008.1|Dengue_virus_3|2005|2005|USA|NA"
"53",53,93,"gi|197310725|gb|FJ024468.1|Dengue_virus_3|2004|2004|USA|NA"
"54",54,89,"gi|204305588|gb|FJ182006.1|Dengue_virus_3|2004|2004|USA|NA"
"55",55,87,"gi|197310727|gb|FJ024469.1|Dengue_virus_3|2004|2004|USA|NA"
"56",56,115,"gi|389565792|gb|JF808120.1|Dengue_virus_3|2009|2009|Brazil|SA"
"57",57,95,"gi|389565794|gb|JF808121.1|Dengue_virus_3|2007|2007|Brazil|SA"
"58",58,123,"gi|263613521|gb|GU131878.1|Dengue_virus_3|2007|2007|Brazil|SA"
"59",59,229,"gi|263613378|gb|GU131874.1|Dengue_virus_3|2007|2007|Brazil|SA"
"60",60,133,"gi|263612750|gb|GU131856.1|Dengue_virus_3|2006|2006|Brazil|SA"
"61",61,156,"gi|263612342|gb|GU131844.1|Dengue_virus_3|2006|2006|Brazil|SA"
"62",62,237,"gi|263613170|gb|GU131868.1|Dengue_virus_3|2007|2007|Brazil|SA"
"63",63,106,"gi|573974489|gb|KF955505.1|Dengue_virus_3|2002|2002|Grenada|NA"
"64",64,69,"gi|169635104|gb|EU529691.1|Dengue_virus_3|2001|2001|Venezuela|SA"
"65",65,75,"gi|389565788|gb|JF808118.1|Dengue_virus_3|2002|2002|Brazil|SA"
"66",66,64,"gi|228542258|gb|FJ898464.1|Dengue_virus_3|2002|2002|Guyana|SA"
"67",67,75,"gi|259496322|gb|GQ868617.1|Dengue_virus_3|2002|2002|Trinidad_and_Tobago|NA"
"68",68,66,"gi|228542061|gb|FJ898459.1|Dengue_virus_3|2002|2002|Trinidad_and_Tobago|NA"
"69",69,55,"gi|228542194|gb|FJ898462.1|Dengue_virus_3|2001|2001|Anguilla|NA"
"70",70,70,"gi|259496320|gb|GQ868616.1|Dengue_virus_3|2001|2001|Saint_Lucia|NA"
"71",71,64,"gi|228542225|gb|FJ898463.1|Dengue_virus_3|2001|2001|Saint_Lucia|NA"
"72",72,72,"gi|221070233|gb|FJ547083.1|Dengue_virus_3|2002|2002|USA|NA"
"73",73,152,"gi|263613488|gb|GU131877.1|Dengue_virus_3|2007|2007|Brazil|SA"
"74",74,341,"gi|263613345|gb|GU131873.1|Dengue_virus_3|2007|2007|Brazil|SA"
"75",75,86,"gi|389565800|gb|JF808124.1|Dengue_virus_3|2003|2003|Brazil|SA"
"76",76,237,"gi|263613235|gb|GU131870.1|Dengue_virus_3|2007|2007|Brazil|SA"
"77",77,236,"gi|263613408|gb|GU131875.1|Dengue_virus_3|2007|2007|Brazil|SA"
"78",78,232,"gi|263612812|gb|GU131858.1|Dengue_virus_3|2006|2006|Brazil|SA"
"79",79,232,"gi|263613133|gb|GU131867.1|Dengue_virus_3|2007|2007|Brazil|SA"
"80",80,232,"gi|263612958|gb|GU131862.1|Dengue_virus_3|2007|2007|Brazil|SA"
"81",81,231,"gi|263612526|gb|GU131850.1|Dengue_virus_3|2006|2006|Brazil|SA"
"82",82,248,"gi|263613266|gb|GU131871.1|Dengue_virus_3|2007|2007|Brazil|SA"
"83",83,269,"gi|263613065|gb|GU131865.1|Dengue_virus_3|2006|2006|Brazil|SA"
"84",84,241,"gi|263612919|gb|GU131861.1|Dengue_virus_3|2007|2007|Brazil|SA"
"85",85,236,"gi|263612495|gb|GU131849.1|Dengue_virus_3|2006|2006|Brazil|SA"
"86",86,171,"gi|263613308|gb|GU131872.1|Dengue_virus_3|2007|2007|Brazil|SA"
"87",87,254,"gi|263613446|gb|GU131876.1|Dengue_virus_3|2007|2007|Brazil|SA"
"88",88,114,"gi|259496192|gb|GQ868547.1|Dengue_virus_3|2006|2006|Brazil|SA"
"89",89,248,"gi|263612880|gb|GU131860.1|Dengue_virus_3|2006|2006|Brazil|SA"
"90",90,247,"gi|263612677|gb|GU131854.1|Dengue_virus_3|2006|2006|Brazil|SA"
"91",91,237,"gi|263612558|gb|GU131851.1|Dengue_virus_3|2006|2006|Brazil|SA"
"92",92,233,"gi|263612368|gb|GU131845.1|Dengue_virus_3|2006|2006|Brazil|SA"
"93",93,233,"gi|263612637|gb|GU131853.1|Dengue_virus_3|2006|2006|Brazil|SA"
"94",94,233,"gi|263613202|gb|GU131869.1|Dengue_virus_3|2007|2007|Brazil|SA"
"95",95,141,"gi|263612781|gb|GU131857.1|Dengue_virus_3|2006|2006|Brazil|SA"
"96",96,95,"gi|259496194|gb|GQ868548.1|Dengue_virus_3|2006|2006|Brazil|SA"
"97",97,233,"gi|263612595|gb|GU131852.1|Dengue_virus_3|2006|2006|Brazil|SA"
"98",98,140,"gi|263612400|gb|GU131846.1|Dengue_virus_3|2006|2006|Brazil|SA"
"99",99,94,"gi|259496190|gb|GQ868546.1|Dengue_virus_3|2006|2006|Brazil|SA"
"100",100,143,"gi|263612715|gb|GU131855.1|Dengue_virus_3|2006|2006|Brazil|SA"
"101",101,231,"gi|263612465|gb|GU131848.1|Dengue_virus_3|2006|2006|Brazil|SA"
"102",102,229,"gi|263612843|gb|GU131859.1|Dengue_virus_3|2006|2006|Brazil|SA"
"103",103,229,"gi|263612435|gb|GU131847.1|Dengue_virus_3|2006|2006|Brazil|SA"
"104",104,66,"gi|389565810|gb|JF808129.1|Dengue_virus_3|2003|2003|Paraguay|SA"
"105",105,73,"gi|511782712|gb|JX669505.1|Dengue_virus_3|2006|2006|Brazil|SA"
"106",106,72,"gi|511782702|gb|JX669500.1|Dengue_virus_3|2005|2005|Brazil|SA"
"107",107,66,"gi|511782696|gb|JX669497.1|Dengue_virus_3|2005|2005|Brazil|SA"
"108",108,79,"gi|511782716|gb|JX669507.1|Dengue_virus_3|2006|2006|Brazil|SA"
"109",109,75,"gi|511782714|gb|JX669506.1|Dengue_virus_3|2006|2006|Brazil|SA"
"110",110,70,"gi|511782688|gb|JX669493.1|Dengue_virus_3|2005|2005|Brazil|SA"
"111",111,73,"gi|511782708|gb|JX669503.1|Dengue_virus_3|2005|2005|Brazil|SA"
"112",112,68,"gi|511782686|gb|JX669492.1|Dengue_virus_3|2005|2005|Brazil|SA"
"113",113,79,"gi|389565796|gb|JF808122.1|Dengue_virus_3|2003|2003|Paraguay|SA"
"114",114,69,"gi|389565802|gb|JF808125.1|Dengue_virus_3|2002|2002|Brazil|SA"
"115",115,66,"gi|389565808|gb|JF808128.1|Dengue_virus_3|2003|2003|Paraguay|SA"
"116",116,63,"gi|389565804|gb|JF808126.1|Dengue_virus_3|2003|2003|Brazil|SA"
"117",117,71,"gi|389565798|gb|JF808123.1|Dengue_virus_3|2002|2002|Paraguay|SA"
"118",118,81,"gi|511782704|gb|JX669501.1|Dengue_virus_3|2005|2005|Brazil|SA"
"119",119,86,"gi|511782718|gb|JX669508.1|Dengue_virus_3|2006|2006|Brazil|SA"
"120",120,84,"gi|511782710|gb|JX669504.1|Dengue_virus_3|2006|2006|Brazil|SA"
"121",121,85,"gi|511782694|gb|JX669496.1|Dengue_virus_3|2006|2006|Brazil|SA"
"122",122,80,"gi|511782706|gb|JX669502.1|Dengue_virus_3|2005|2005|Brazil|SA"
"123",123,79,"gi|511782690|gb|JX669494.1|Dengue_virus_3|2005|2005|Brazil|SA"
"124",124,77,"gi|460222596|gb|KC425219.1|Dengue_virus_3|2002|2002|Brazil|SA"
"125",125,67,"gi|511782680|gb|JX669489.1|Dengue_virus_3|2003|2003|Brazil|SA"
"126",126,62,"gi|511782684|gb|JX669491.1|Dengue_virus_3|2002|2002|Brazil|SA"
"127",127,59,"gi|511782682|gb|JX669490.1|Dengue_virus_3|2002|2002|Brazil|SA"
"128",128,60,"gi|511782700|gb|JX669499.1|Dengue_virus_3|2004|2004|Brazil|SA"
"129",129,56,"gi|511782692|gb|JX669495.1|Dengue_virus_3|2004|2004|Brazil|SA"
"130",130,62,"gi|389565806|gb|JF808127.1|Dengue_virus_3|2002|2002|Brazil|SA"
"131",131,64,"gi|511782698|gb|JX669498.1|Dengue_virus_3|2004|2004|Brazil|SA"
"132",132,58,"gi|228543084|gb|FJ913015.1|Dengue_virus_3|2001|2001|Brazil|SA"
"133",133,57,"gi|228541661|gb|FJ898446.1|Dengue_virus_3|2001|2001|Brazil|SA"
"134",134,303,"gi|332961549|gb|JF937652.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"135",135,133,"gi|332717387|gb|JF920408.1|Dengue_virus_3|2010|2010|Nicaragua|NA"
"136",136,201,"gi|571350580|gb|KF921924.1|Dengue_virus_3|2010|2010|Nicaragua|NA"
"137",137,126,"gi|332959515|gb|JF937634.1|Dengue_virus_3|2010|2010|Nicaragua|NA"
"138",138,122,"gi|332959521|gb|JF937637.1|Dengue_virus_3|2010|2010|Nicaragua|NA"
"139",139,116,"gi|332961537|gb|JF937646.1|Dengue_virus_3|2010|2010|Nicaragua|NA"
"140",140,231,"gi|571350584|gb|KF921926.1|Dengue_virus_3|2010|2010|Nicaragua|NA"
"141",141,388,"gi|332959507|gb|JF937630.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"142",142,236,"gi|300675540|gb|HM756274.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"143",143,115,"gi|332717381|gb|JF920405.1|Dengue_virus_3|2010|2010|Nicaragua|NA"
"144",144,112,"gi|332959529|gb|JF937641.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"145",145,114,"gi|332717379|gb|JF920404.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"146",146,113,"gi|332959531|gb|JF937642.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"147",147,115,"gi|332717383|gb|JF920406.1|Dengue_virus_3|2010|2010|Nicaragua|NA"
"148",148,122,"gi|332717371|gb|JF920400.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"149",149,242,"gi|316983430|gb|HQ541795.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"150",150,240,"gi|310002707|gb|HQ166033.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"151",151,133,"gi|332959527|gb|JF937640.1|Dengue_virus_3|2010|2010|Nicaragua|NA"
"152",152,128,"gi|332959489|gb|JF937621.1|Dengue_virus_3|2010|2010|Nicaragua|NA"
"153",153,124,"gi|332959503|gb|JF937628.1|Dengue_virus_3|2010|2010|Nicaragua|NA"
"154",154,126,"gi|332959499|gb|JF937626.1|Dengue_virus_3|2010|2010|Nicaragua|NA"
"155",155,122,"gi|316983484|gb|HQ705623.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"156",156,123,"gi|332959495|gb|JF937624.1|Dengue_virus_3|2010|2010|Nicaragua|NA"
"157",157,126,"gi|332959493|gb|JF937623.1|Dengue_virus_3|2010|2010|Nicaragua|NA"
"158",158,117,"gi|316983470|gb|HQ705616.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"159",159,553,"gi|571350572|gb|KF921920.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"160",160,120,"gi|316983466|gb|HQ705614.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"161",161,233,"gi|316983434|gb|HQ541797.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"162",162,241,"gi|571350564|gb|KF921916.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"163",163,239,"gi|300675500|gb|HM631857.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"164",164,118,"gi|332959505|gb|JF937629.1|Dengue_virus_3|2010|2010|Nicaragua|NA"
"165",165,121,"gi|332959497|gb|JF937625.1|Dengue_virus_3|2010|2010|Nicaragua|NA"
"166",166,117,"gi|316983460|gb|HQ705611.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"167",167,118,"gi|316983476|gb|HQ705619.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"168",168,488,"gi|325420567|gb|HQ891025.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"169",169,236,"gi|300675524|gb|HM631869.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"170",170,120,"gi|333499259|gb|JN000938.1|Dengue_virus_3|2010|2010|Nicaragua|NA"
"171",171,124,"gi|316983464|gb|HQ705613.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"172",172,118,"gi|239840397|gb|GQ199870.1|Dengue_virus_3|2008|2008|Nicaragua|NA"
"173",173,195,"gi|571350578|gb|KF921923.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"174",174,541,"gi|573974459|gb|KF955490.1|Dengue_virus_3|2008|2008|Nicaragua|NA"
"175",175,236,"gi|316983432|gb|HQ541796.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"176",176,238,"gi|300675550|gb|HM756279.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"177",177,115,"gi|316983472|gb|HQ705617.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"178",178,235,"gi|332959509|gb|JF937631.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"179",179,234,"gi|310002701|gb|HQ166030.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"180",180,338,"gi|571350558|gb|KF921913.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"181",181,239,"gi|298388354|gb|HM181973.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"182",182,237,"gi|340561477|gb|JN183884.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"183",183,561,"gi|571350576|gb|KF921922.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"184",184,116,"gi|316983474|gb|HQ705618.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"185",185,403,"gi|571350560|gb|KF921914.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"186",186,500,"gi|316983444|gb|HQ541804.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"187",187,110,"gi|225690999|gb|FJ850052.1|Dengue_virus_3|2008|2008|Nicaragua|NA"
"188",188,109,"gi|239840377|gb|GQ199860.1|Dengue_virus_3|2008|2008|Nicaragua|NA"
"189",189,121,"gi|228543173|gb|FJ898476.1|Dengue_virus_3|2008|2008|Nicaragua|NA"
"190",190,119,"gi|316983462|gb|HQ705612.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"191",191,168,"gi|332717361|gb|JF920395.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"192",192,114,"gi|316983452|gb|HQ671177.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"193",193,234,"gi|300675548|gb|HM756278.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"194",194,116,"gi|332717357|gb|JF920393.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"195",195,235,"gi|310002703|gb|HQ166031.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"196",196,237,"gi|310002705|gb|HQ166032.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"197",197,236,"gi|300675546|gb|HM756277.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"198",198,128,"gi|332717373|gb|JF920401.1|Dengue_virus_3|2010|2010|Nicaragua|NA"
"199",199,128,"gi|332959513|gb|JF937633.1|Dengue_virus_3|2010|2010|Nicaragua|NA"
"200",200,120,"gi|316983482|gb|HQ705622.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"201",201,232,"gi|298388364|gb|HM181978.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"202",202,237,"gi|300675556|gb|HM756282.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"203",203,538,"gi|316983440|gb|HQ541802.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"204",204,122,"gi|332717369|gb|JF920399.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"205",205,237,"gi|298388360|gb|HM181976.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"206",206,238,"gi|298388356|gb|HM181974.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"207",207,628,"gi|571350574|gb|KF921921.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"208",208,223,"gi|332959511|gb|JF937632.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"209",209,126,"gi|332959519|gb|JF937636.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"210",210,114,"gi|239840381|gb|GQ199862.1|Dengue_virus_3|2008|2008|Nicaragua|NA"
"211",211,121,"gi|332959487|gb|JF937620.1|Dengue_virus_3|2010|2010|Nicaragua|NA"
"212",212,121,"gi|332717363|gb|JF920396.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"213",213,237,"gi|300675544|gb|HM756276.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"214",214,228,"gi|335883044|gb|JN093514.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"215",215,122,"gi|316983456|gb|HQ705609.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"216",216,278,"gi|300675532|gb|HM631856.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"217",217,235,"gi|300675512|gb|HM631863.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"218",218,218,"gi|316983446|gb|HQ541806.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"219",219,235,"gi|300675554|gb|HM756281.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"220",220,236,"gi|300675506|gb|HM631860.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"221",221,234,"gi|300675502|gb|HM631858.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"222",222,235,"gi|300675510|gb|HM631862.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"223",223,238,"gi|298388362|gb|HM181977.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"224",224,119,"gi|332717389|gb|JF920409.1|Dengue_virus_3|2010|2010|Nicaragua|NA"
"225",225,116,"gi|316983420|gb|HQ541790.1|Dengue_virus_3|2008|2008|Nicaragua|NA"
"226",226,116,"gi|225690991|gb|FJ850048.1|Dengue_virus_3|2008|2008|Nicaragua|NA"
"227",227,244,"gi|332961533|gb|JF937643.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"228",228,243,"gi|300675514|gb|HM631864.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"229",229,245,"gi|333499253|gb|JN000936.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"230",230,355,"gi|316983468|gb|HQ705615.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"231",231,241,"gi|316983454|gb|HQ671178.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"232",232,241,"gi|316983410|gb|HQ541785.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"233",233,481,"gi|335883050|gb|JN093517.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"234",234,260,"gi|332717367|gb|JF920398.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"235",235,152,"gi|332959525|gb|JF937639.1|Dengue_virus_3|2010|2010|Nicaragua|NA"
"236",236,107,"gi|228543144|gb|FJ898475.1|Dengue_virus_3|2008|2008|Nicaragua|NA"
"237",237,123,"gi|228535527|gb|FJ873812.1|Dengue_virus_3|2008|2008|Nicaragua|NA"
"238",238,217,"gi|571350588|gb|KF921928.1|Dengue_virus_3|2010|2010|Nicaragua|NA"
"239",239,117,"gi|316983458|gb|HQ705610.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"240",240,234,"gi|298388352|gb|HM181972.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"241",241,127,"gi|332959523|gb|JF937638.1|Dengue_virus_3|2010|2010|Nicaragua|NA"
"242",242,122,"gi|316983478|gb|HQ705620.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"243",243,344,"gi|571350590|gb|KF921929.1|Dengue_virus_3|2010|2010|Nicaragua|NA"
"244",244,128,"gi|316983450|gb|HQ671176.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"245",245,134,"gi|332961541|gb|JF937648.1|Dengue_virus_3|2010|2010|Nicaragua|NA"
"246",246,261,"gi|332959501|gb|JF937627.1|Dengue_virus_3|2010|2010|Nicaragua|NA"
"247",247,131,"gi|335883046|gb|JN093515.1|Dengue_virus_3|2010|2010|Nicaragua|NA"
"248",248,117,"gi|239840387|gb|GQ199865.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"249",249,124,"gi|239840399|gb|GQ199871.1|Dengue_virus_3|2008|2008|Nicaragua|NA"
"250",250,110,"gi|239840383|gb|GQ199863.1|Dengue_virus_3|2008|2008|Nicaragua|NA"
"251",251,108,"gi|239840379|gb|GQ199861.1|Dengue_virus_3|2008|2008|Nicaragua|NA"
"252",252,109,"gi|316983418|gb|HQ541789.1|Dengue_virus_3|2008|2008|Nicaragua|NA"
"253",253,109,"gi|316983422|gb|HQ541791.1|Dengue_virus_3|2008|2008|Nicaragua|NA"
"254",254,109,"gi|225690993|gb|FJ850049.1|Dengue_virus_3|2008|2008|Nicaragua|NA"
"255",255,112,"gi|239840385|gb|GQ199864.1|Dengue_virus_3|2008|2008|Nicaragua|NA"
"256",256,122,"gi|228535529|gb|FJ873813.1|Dengue_virus_3|2008|2008|Nicaragua|NA"
"257",257,124,"gi|335883042|gb|JN093513.1|Dengue_virus_3|2010|2010|Nicaragua|NA"
"258",258,244,"gi|310002709|gb|HQ166034.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"259",259,127,"gi|316983480|gb|HQ705621.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"260",260,240,"gi|300675508|gb|HM631861.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"261",261,236,"gi|298388358|gb|HM181975.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"262",262,122,"gi|332961539|gb|JF937647.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"263",263,126,"gi|332717365|gb|JF920397.1|Dengue_virus_3|2010|2010|Nicaragua|NA"
"264",264,382,"gi|333499257|gb|JN000937.1|Dengue_virus_3|2010|2010|Nicaragua|NA"
"265",265,123,"gi|332959491|gb|JF937622.1|Dengue_virus_3|2010|2010|Nicaragua|NA"
"266",266,239,"gi|300675504|gb|HM631859.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"267",267,123,"gi|332717359|gb|JF920394.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"268",268,241,"gi|300675552|gb|HM756280.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
"269",269,248,"gi|300675542|gb|HM756275.1|Dengue_virus_3|2009|2009|Nicaragua|NA"
