"","num","Differences","sequencename"
"1",1,642,"gi|8486127|ref|NC_002018.1|A/Puerto_Rico/8/1934_H1N1_|NA|NA|Puerto_Rico|NA"
"90",90,58,"gi|512770924|gb|KF216533.1|B/Texas/05/2013|12_Feb_2013|2013|USA|NA"
"91",91,57,"gi|512771987|gb|KF216934.1|B/Idaho/01/2013|15_Jan_2013|2013|USA|NA"
"92",92,57,"gi|512771785|gb|KF216856.1|B/Utah/03/2013|03_Mar_2013|2013|USA|NA"
"93",93,57,"gi|512771247|gb|KF216654.1|B/Ohio/06/2012|19_Nov_2012|2012|USA|NA"
"94",94,57,"gi|512770842|gb|KF216502.1|B/Colorado/06/2012|06_Dec_2012|2012|USA|NA"
"95",95,57,"gi|512770820|gb|KF216494.1|B/Ohio/06/2012|19_Nov_2012|2012|USA|NA"
"96",96,57,"gi|512770803|gb|KF216488.1|B/Colorado/04/2013|02_Feb_2013|2013|USA|NA"
"97",97,56,"gi|512771496|gb|KF216747.1|B/North_Carolina/05/2012|04_Dec_2012|2012|USA|NA"
"98",98,56,"gi|512771668|gb|KF216812.1|B/Colorado/01/2012|15_Oct_2012|2012|USA|NA"
"99",99,55,"gi|574456352|gb|KJ136196.1|B/New_Hampshire/04/2013|06_Apr_2013|2013|USA|NA"
"100",100,54,"gi|512772199|gb|KF217013.1|B/Arizona/01/2013|14_Jan_2013|2013|USA|NA"
"101",101,55,"gi|512772350|gb|KF217069.1|B/South_Dakota/02/2013|04_Feb_2013|2013|USA|NA"
"102",102,55,"gi|512770746|gb|KF216467.1|B/Michigan/25/2012|25_Sep_2012|2012|USA|NA"
"103",103,54,"gi|488465850|gb|KC892057.1|B/Ohio/01/2012|12_Apr_2012|2012|USA|NA"
"104",104,53,"gi|488465106|gb|KC891776.1|B/California/12/2011|30_Nov_2011|2011|USA|NA"
"105",105,55,"gi|590123204|gb|KJ532258.1|B/Nebraska/02/2013|18_Oct_2013|2013|USA|NA"
"106",106,54,"gi|574456222|gb|KJ136147.1|B/Nevada/08/2013|01_May_2013|2013|USA|NA"
"107",107,55,"gi|488465597|gb|KC891962.1|B/Wyoming/01/2012|23_Mar_2012|2012|USA|NA"
"108",108,53,"gi|440234772|gb|CY130169.1|B/Maryland/3039/2012|16_Oct_2012|2012|USA|NA"
"109",109,54,"gi|574456198|gb|KJ136138.1|B/Hawaii/02/2013|26_Apr_2013|2013|USA|NA"
"110",110,54,"gi|512771812|gb|KF216867.1|B/Massachusetts/09/2012|28_Dec_2012|2012|USA|NA"
"111",111,54,"gi|488465090|gb|KC891770.1|B/New_Mexico/08/2011|11_Dec_2011|2011|USA|NA"
"112",112,54,"gi|488464648|gb|KC891606.1|B/Montana/02/2012|30_Jan_2012|2012|USA|NA"
"113",113,60,"gi|488466000|gb|KC892113.1|B/Florida/32/2012|31_Aug_2012|2012|USA|NA"
"114",114,60,"gi|512771445|gb|KF216729.1|B/North_Carolina/07/2013|07_Apr_2013|2013|USA|NA"
"115",115,58,"gi|512772191|gb|KF217010.1|B/Pennsylvania/02/2013|18_Feb_2013|2013|USA|NA"
"116",116,58,"gi|512771527|gb|KF216759.1|B/Rhode_Island/04/2012|03_Dec_2012|2012|USA|NA"
"117",117,59,"gi|512770942|gb|KF216540.1|B/Michigan/28/2012|23_Dec_2012|2012|USA|NA"
"118",118,59,"gi|590122961|gb|KJ532164.1|B/Hawaii/10/2013|20_Dec_2013|2013|USA|NA"
"119",119,60,"gi|574456384|gb|KJ136208.1|B/Wisconsin/04/2013|23_Apr_2013|2013|USA|NA"
"120",120,60,"gi|512772445|gb|KF217105.1|B/Texas/01/2013|12_Jan_2013|2013|USA|NA"
"121",121,61,"gi|512771731|gb|KF216836.1|B/Montana/04/2012|22_Sep_2012|2012|USA|NA"
"122",122,60,"gi|488465626|gb|KC891973.1|B/Utah/05/2012|10_Jun_2012|2012|USA|NA"
"123",123,58,"gi|512771000|gb|KF216561.1|B/Maryland/01/2013|25_Feb_2013|2013|USA|NA"
"124",124,59,"gi|488465632|gb|KC891975.1|B/Wisconsin/08/2012|02_Jun_2012|2012|USA|NA"
"125",125,57,"gi|574456400|gb|KJ136214.1|B/New_Jersey/06/2013|27_Apr_2013|2013|USA|NA"
"126",126,59,"gi|574456182|gb|KJ136132.1|B/California/04/2013|19_Jan_2013|2013|USA|NA"
"127",127,60,"gi|512772483|gb|KF217119.1|B/New_Mexico/04/2012|26_Nov_2012|2012|USA|NA"
"128",128,60,"gi|512770716|gb|KF216456.1|B/New_Mexico/01/2013|04_Jan_2013|2013|USA|NA"
"129",129,59,"gi|512771493|gb|KF216746.1|B/Delaware/10/2012|07_Oct_2012|2012|USA|NA"
"130",130,57,"gi|512770907|gb|KF216527.1|B/Utah/13/2012|08_Dec_2012|2012|USA|NA"
"131",131,59,"gi|512770734|gb|KF216463.1|B/Tennessee/01/2013|24_Mar_2013|2013|USA|NA"
"132",132,56,"gi|574456206|gb|KJ136141.1|B/Hawaii/01/2013|01_May_2013|2013|USA|NA"
"133",133,55,"gi|574456246|gb|KJ136156.1|B/Hawaii/03/2013|05_Apr_2013|2013|USA|NA"
"134",134,60,"gi|512771433|gb|KF216724.1|B/North_Carolina/05/2013|27_Mar_2013|2013|USA|NA"
"135",135,58,"gi|574456190|gb|KJ136135.1|B/Alaska/04/2013|17_Apr_2013|2013|USA|NA"
"136",136,57,"gi|574456313|gb|KJ136181.1|B/North_Carolina/08/2013|19_Apr_2013|2013|USA|NA"
"137",137,58,"gi|512771820|gb|KF216870.1|B/Louisiana/02/2012|29_Dec_2012|2012|USA|NA"
"138",138,59,"gi|512771287|gb|KF216670.1|B/Arkansas/03/2012|26_Dec_2012|2012|USA|NA"
"139",139,59,"gi|512771150|gb|KF216617.1|B/Texas/33/2012|29_Nov_2012|2012|USA|NA"
"140",140,59,"gi|512771471|gb|KF216738.1|B/Florida/35/2012|03_Oct_2012|2012|USA|NA"
"141",141,59,"gi|512771539|gb|KF216764.1|B/Georgia/07/2012|14_Dec_2012|2012|USA|NA"
"142",142,59,"gi|512770863|gb|KF216510.1|B/Florida/51/2012|03_Dec_2012|2012|USA|NA"
"143",143,58,"gi|512772294|gb|KF217049.1|B/Indiana/01/2013|23_Jan_2013|2013|USA|NA"
"144",144,58,"gi|590123056|gb|KJ532200.1|B/Hawaii/09/2013|21_Jun_2013|2013|USA|NA"
"145",145,59,"gi|574456294|gb|KJ136174.1|B/Hawaii/04/2013|23_May_2013|2013|USA|NA"
"146",146,58,"gi|574456448|gb|KJ136232.1|B/Michigan/01/2013|01_Mar_2013|2013|USA|NA"
"147",147,58,"gi|574456416|gb|KJ136220.1|B/Maryland/03/2013|06_May_2013|2013|USA|NA"
"148",148,58,"gi|512772493|gb|KF217123.1|B/Massachusetts/06/2012|29_Nov_2012|2012|USA|NA"
"149",149,58,"gi|512772288|gb|KF217047.1|B/California/02/2013|08_Feb_2013|2013|USA|NA"
"150",150,58,"gi|512772146|gb|KF216994.1|B/California/03/2013|08_Feb_2013|2013|USA|NA"
"151",151,58,"gi|512771977|gb|KF216930.1|B/Texas/04/2013|09_Jan_2013|2013|USA|NA"
"152",152,56,"gi|512771949|gb|KF216920.1|B/Utah/01/2013|10_Jan_2013|2013|USA|NA"
"153",153,58,"gi|512771370|gb|KF216700.1|B/North_Carolina/03/2013|20_Mar_2013|2013|USA|NA"
"154",154,58,"gi|512771350|gb|KF216693.1|B/Oklahoma/03/2013|13_Mar_2013|2013|USA|NA"
"155",155,58,"gi|512770877|gb|KF216515.1|B/Georgia/02/2012|02_Dec_2012|2012|USA|NA"
"156",156,58,"gi|512770800|gb|KF216487.1|B/Florida/02/2013|25_Feb_2013|2013|USA|NA"
"157",157,58,"gi|574456270|gb|KJ136165.1|B/Alabama/02/2013|22_May_2013|2013|USA|NA"
"158",158,58,"gi|440234777|gb|CY130171.1|B/South_Dakota/3040/2012|24_Oct_2012|2012|USA|NA"
"159",159,57,"gi|574456480|gb|KJ136244.1|B/Montana/03/2013|30_Apr_2013|2013|USA|NA"
"160",160,57,"gi|574456174|gb|KJ136129.1|B/Arizona/03/2013|23_Jan_2013|2013|USA|NA"
"161",161,57,"gi|512772213|gb|KF217018.1|B/Oklahoma/02/2013|22_Jan_2013|2013|USA|NA"
"162",162,57,"gi|512772177|gb|KF217005.1|B/Virginia/02/2013|23_Jan_2013|2013|USA|NA"
"163",163,57,"gi|512772122|gb|KF216986.1|B/Wyoming/05/2012|23_Oct_2012|2012|USA|NA"
"164",164,57,"gi|512772083|gb|KF216971.1|B/Texas/18/2012|04_Nov_2012|2012|USA|NA"
"165",165,57,"gi|512771734|gb|KF216837.1|B/New_Jersey/03/2013|04_Feb_2013|2013|USA|NA"
"166",166,57,"gi|512771710|gb|KF216828.1|B/Washington/14/2012|20_Oct_2012|2012|USA|NA"
"167",167,57,"gi|512771663|gb|KF216810.1|B/Utah/09/2012|01_Nov_2012|2012|USA|NA"
"168",168,57,"gi|512771258|gb|KF216658.1|B/Texas/24/2012|27_Nov_2012|2012|USA|NA"
"169",169,57,"gi|512771238|gb|KF216651.1|B/Texas/24/2012|27_Nov_2012|2012|USA|NA"
"170",170,57,"gi|512771211|gb|KF216640.1|B/Texas/17/2012|03_Oct_2012|2012|USA|NA"
"171",171,57,"gi|512771206|gb|KF216638.1|B/Nevada/07/2013|15_Mar_2013|2013|USA|NA"
"172",172,57,"gi|512770880|gb|KF216516.1|B/South_Dakota/06/2012|17_Oct_2012|2012|USA|NA"
"173",173,57,"gi|512770866|gb|KF216511.1|B/South_Dakota/01/2012|03_Oct_2012|2012|USA|NA"
"174",174,59,"gi|512771758|gb|KF216846.1|B/Georgia/04/2013|15_Jan_2013|2013|USA|NA"
"175",175,59,"gi|512771049|gb|KF216580.1|B/Alabama/02/2012|25_Sep_2012|2012|USA|NA"
"176",176,58,"gi|512770852|gb|KF216506.1|B/Alabama/05/2012|05_Dec_2012|2012|USA|NA"
"177",177,58,"gi|574456488|gb|KJ136247.1|B/North_Carolina/09/2013|29_Apr_2013|2013|USA|NA"
"178",178,58,"gi|488464792|gb|KC891660.1|B/Florida/20/2012|18_Jul_2012|2012|USA|NA"
"179",179,58,"gi|488465919|gb|KC892083.1|B/New_York/04/2012|25_Jun_2012|2012|USA|NA"
"180",180,59,"gi|512772306|gb|KF217053.1|B/Louisiana/01/2013|20_Jan_2013|2013|USA|NA"
"181",181,58,"gi|512771881|gb|KF216895.1|B/Delaware/03/2013|16_Mar_2013|2013|USA|NA"
"182",182,60,"gi|512771834|gb|KF216875.1|B/West_Virginia/02/2012|18_Dec_2012|2012|USA|NA"
"183",183,57,"gi|488465339|gb|KC891864.1|B/Minnesota/02/2012|12_May_2012|2012|USA|NA"
"184",184,58,"gi|488465047|gb|KC891755.1|B/Virginia/02/2012|01_May_2012|2012|USA|NA"
"185",185,57,"gi|590122955|gb|KJ532162.1|B/Arkansas/01/2013|29_Dec_2013|2013|USA|NA"
"186",186,56,"gi|512771412|gb|KF216716.1|B/Indiana/02/2013|17_Mar_2013|2013|USA|NA"
"187",187,59,"gi|512771005|gb|KF216563.1|B/Ohio/03/2013|13_Mar_2013|2013|USA|NA"
"188",188,58,"gi|512771654|gb|KF216807.1|B/Iowa/06/2013|02_Apr_2013|2013|USA|NA"
"189",189,59,"gi|512772000|gb|KF216939.1|B/Georgia/06/2013|17_Jan_2013|2013|USA|NA"
"190",190,58,"gi|512771628|gb|KF216798.1|B/Virginia/04/2013|14_Mar_2013|2013|USA|NA"
"191",191,58,"gi|574456376|gb|KJ136205.1|B/Maryland/02/2013|07_Apr_2013|2013|USA|NA"
"192",192,58,"gi|574456302|gb|KJ136177.1|B/District_Of_Columbia/01/2013|08_Mar_2013|2013|USA|NA"
"193",193,57,"gi|574456278|gb|KJ136168.1|B/Florida/05/2013|01_May_2013|2013|USA|NA"
"194",194,57,"gi|512771425|gb|KF216721.1|B/Utah/04/2013|13_Mar_2013|2013|USA|NA"
"195",195,57,"gi|512771313|gb|KF216679.1|B/Virginia/04/2012|17_Dec_2012|2012|USA|NA"
"196",196,58,"gi|512771954|gb|KF216922.1|B/Florida/01/2013|17_Jan_2013|2013|USA|NA"
"197",197,57,"gi|512772300|gb|KF217051.1|B/North_Carolina/01/2013|29_Jan_2013|2013|USA|NA"
"198",198,57,"gi|512771725|gb|KF216834.1|B/Florida/37/2012|05_Oct_2012|2012|USA|NA"
"199",199,57,"gi|512771660|gb|KF216809.1|B/Florida/37/2012|05_Oct_2012|2012|USA|NA"
"200",200,58,"gi|512771269|gb|KF216662.1|B/Georgia/02/2013|04_Jan_2013|2013|USA|NA"
"201",201,57,"gi|512772342|gb|KF217066.1|B/Mississippi/01/2013|13_Jan_2013|2013|USA|NA"
"202",202,57,"gi|512771974|gb|KF216929.1|B/Kentucky/02/2013|11_Mar_2013|2013|USA|NA"
"203",203,57,"gi|512771728|gb|KF216835.1|B/North_Carolina/04/2013|04_Apr_2013|2013|USA|NA"
"204",204,55,"gi|512771448|gb|KF216730.1|B/North_Carolina/06/2013|04_Apr_2013|2013|USA|NA"
"205",205,56,"gi|574456321|gb|KJ136184.1|B/Georgia/08/2013|05_Apr_2013|2013|USA|NA"
"206",206,56,"gi|512772469|gb|KF217114.1|B/Missouri/05/2012|13_Nov_2012|2012|USA|NA"
"207",207,56,"gi|512772411|gb|KF217092.1|B/Illinois/01/2013|14_Jan_2013|2013|USA|NA"
"208",208,56,"gi|512772174|gb|KF217004.1|B/Illinois/01/2013|14_Jan_2013|2013|USA|NA"
"209",209,56,"gi|512771846|gb|KF216880.1|B/Missouri/03/2013|06_Feb_2013|2013|USA|NA"
"210",210,56,"gi|512771574|gb|KF216777.1|B/Missouri/01/2013|09_Jan_2013|2013|USA|NA"
"211",211,56,"gi|512771173|gb|KF216625.1|B/Kansas/02/2012|04_Dec_2012|2012|USA|NA"
"212",212,56,"gi|512770971|gb|KF216550.1|B/Mississippi/02/2013|04_Mar_2013|2013|USA|NA"
"213",213,56,"gi|512770966|gb|KF216548.1|B/Illinois/03/2013|11_Mar_2013|2013|USA|NA"
"214",214,58,"gi|512772472|gb|KF217115.1|B/Kentucky/05/2012|21_Nov_2012|2012|USA|NA"
"215",215,58,"gi|512772166|gb|KF217001.1|B/Kentucky/01/2013|22_Jan_2013|2013|USA|NA"
"216",216,58,"gi|512770823|gb|KF216495.1|B/Indiana/02/2012|16_Nov_2012|2012|USA|NA"
"217",217,57,"gi|512772143|gb|KF216993.1|B/Missouri/04/2012|15_Oct_2012|2012|USA|NA"
"218",218,57,"gi|512771680|gb|KF216816.1|B/Missouri/04/2012|15_Oct_2012|2012|USA|NA"
"219",219,58,"gi|488465927|gb|KC892086.1|B/Kentucky/03/2012|04_Jun_2012|2012|USA|NA"
"220",220,57,"gi|488465792|gb|KC892035.1|B/Michigan/06/2012|14_Jun_2012|2012|USA|NA"
"221",221,57,"gi|574456360|gb|KJ136199.1|B/New_Jersey/05/2013|09_Apr_2013|2013|USA|NA"
"222",222,56,"gi|512772359|gb|KF217072.1|B/Alaska/02/2013|08_Feb_2013|2013|USA|NA"
"223",223,57,"gi|512772149|gb|KF216995.1|B/North_Dakota/02/2012|02_Nov_2012|2012|USA|NA"
"224",224,57,"gi|512772119|gb|KF216985.1|B/North_Carolina/02/2012|31_Oct_2012|2012|USA|NA"
"225",225,57,"gi|512772094|gb|KF216975.1|B/Florida/39/2012|29_Oct_2012|2012|USA|NA"
"226",226,57,"gi|512772013|gb|KF216945.1|B/Florida/57/2012|28_Dec_2012|2012|USA|NA"
"227",227,57,"gi|512770855|gb|KF216507.1|B/New_York/02/2013|03_Feb_2013|2013|USA|NA"
"228",228,57,"gi|512771828|gb|KF216873.1|B/Mississippi/04/2012|10_Dec_2012|2012|USA|NA"
"229",229,57,"gi|512771167|gb|KF216623.1|B/South_Dakota/07/2012|20_Oct_2012|2012|USA|NA"
"230",230,57,"gi|512771080|gb|KF216591.1|B/South_Dakota/07/2012|20_Oct_2012|2012|USA|NA"
"231",231,57,"gi|512771107|gb|KF216601.1|B/Florida/34/2012|28_Sep_2012|2012|USA|NA"
"232",232,57,"gi|488465962|gb|KC892099.1|B/Florida/08/2012|28_Jun_2012|2012|USA|NA"
"233",233,56,"gi|512772108|gb|KF216981.1|B/Alaska/20/2012|16_Oct_2012|2012|USA|NA"
"234",234,56,"gi|512772055|gb|KF216960.1|B/Minnesota/04/2012|29_Oct_2012|2012|USA|NA"
"235",235,56,"gi|512772052|gb|KF216959.1|B/Mississippi/03/2012|04_Nov_2012|2012|USA|NA"
"236",236,56,"gi|512771917|gb|KF216908.1|B/Pennsylvania/01/2013|10_Jan_2013|2013|USA|NA"
"237",237,56,"gi|512771565|gb|KF216774.1|B/Ohio/01/2013|14_Jan_2013|2013|USA|NA"
"238",238,56,"gi|512771502|gb|KF216749.1|B/Mississippi/02/2012|07_Oct_2012|2012|USA|NA"
"239",239,56,"gi|512771138|gb|KF216612.1|B/Alaska/27/2012|06_Dec_2012|2012|USA|NA"
"240",240,56,"gi|512770992|gb|KF216558.1|B/Delaware/02/2013|25_Feb_2013|2013|USA|NA"
"241",241,56,"gi|488465831|gb|KC892050.1|B/Idaho/01/2012|22_Mar_2012|2012|USA|NA"
"242",242,56,"gi|488465652|gb|KC891982.1|B/Delaware/09/2012|02_Jun_2012|2012|USA|NA"
"243",243,56,"gi|488465587|gb|KC891958.1|B/Mississippi/01/2012|02_Mar_2012|2012|USA|NA"
"244",244,56,"gi|488465571|gb|KC891952.1|B/Missouri/01/2012|13_Jan_2012|2012|USA|NA"
"245",245,56,"gi|488465529|gb|KC891936.1|B/Florida/29/2012|10_Jul_2012|2012|USA|NA"
"246",246,56,"gi|488465476|gb|KC891917.1|B/Florida/06/2012|23_May_2012|2012|USA|NA"
"247",247,56,"gi|488465432|gb|KC891899.1|B/Illinois/01/2012|11_Feb_2012|2012|USA|NA"
