File,Fasta_File_Path,Number_of_Sequences,Number_of_Nucleotides,CSV_Files
BKpolyomavirus_VP1.fasta.mu.trim05,data/fasta/BKpolyomavirus_VP1.fasta.mu,115,1086,new_data/Consensus/new_for_costly/BKpolyomavirus_VP1.CSV
HepatitisB_polymerase_truncated_precore.fasta_pruned.mu.trim05,data/fasta/HepatitisB_polymerase_truncated_precore.fasta_pruned.mu.trim05,1111,181,data/csv/HepatitisB_polymerase_truncated_precore.csv
humanparainfluenzavirus1_HN.fasta_pruned.mu.trim05,data/fasta/humanparainfluenzavirus1_HN.fasta_pruned.mu.trim05,236,864,new_data/Consensus/new_for_costly/humanparainfluenzavirus1_HN.CSV
humanparainfluenzavirus1.fasta_pruned.mu.trim05,data/fasta/humanparainfluenzavirus1.fasta_pruned.mu.trim05,72,15471,data/csv/humanparainfluenzavirus1.csv
humanparainfluenzavirus3.fasta_pruned.mu.trim05,data/fasta/humanparainfluenzavirus3.fasta_pruned.mu.trim05,76,1617,data/csv/humanparainfluenzavirus3.csv
Humanrespiratorysyncytialvirus.fasta.mu.trim05,data/fasta/Humanrespiratorysyncytialvirus.fasta.mu.trim05,292,15132,data/csv/Humanrespiratorysyncytialvirus.csv
RhinovirusC.fasta_pruned.mu.trim05,data/fasta/RhinovirusC.fasta_pruned.mu.trim05,53,6933,data/csv/RhinovirusC.csv
HIV1_FLT_2017_pol_DNA.fasta,data/fasta/HIV1_FLT_2017_pol_DNA.fasta,3030,3264,new_data/Consensus/new_for_costly/HIV1_FLT_2017_pol_DNA.CSV
HCV1A_CDS_Alignment.fasta,data/fasta/HCV1A_CDS_Alignment.fasta,3011,9036,new_data/Consensus/new_for_costly/HCV1A.CSV
HCV1B_CDS_alignment.fasta,data/fasta/HCV1B_CDS_alignment.fasta,3010,9036,data/csv/HCV1B_CDS_alignment.CSV
